Executando GA na instância instances/max_sc_qbf/exact_n200.txt com População = 100, Taxa de Mutação = 0.01 por 1000 gerações
Método de inicialização: Default
gen=0 bestSolVal=4352.989999999997 t=0.035
gen=2 bestSolVal=6086.959999999999 t=0.137
gen=3 bestSolVal=6498.379999999999 t=0.187
gen=6 bestSolVal=6958.239999999999 t=0.325
gen=7 bestSolVal=7326.1500000000015 t=0.389
gen=8 bestSolVal=8023.659999999998 t=0.436
gen=9 bestSolVal=8638.309999999998 t=0.484
gen=10 bestSolVal=9207.46 t=0.531
gen=11 bestSolVal=9469.549999999997 t=0.58
gen=12 bestSolVal=9863.800000000005 t=0.628
gen=14 bestSolVal=10174.09 t=0.723
gen=15 bestSolVal=10776.199999999995 t=0.771
gen=17 bestSolVal=11712.519999999993 t=0.868
gen=22 bestSolVal=11959.150000000009 t=1.107
gen=23 bestSolVal=12306.730000000005 t=1.155
gen=24 bestSolVal=12719.039999999992 t=1.202
gen=26 bestSolVal=12963.709999999995 t=1.298
gen=27 bestSolVal=13528.849999999997 t=1.346
gen=28 bestSolVal=13696.900000000009 t=1.394
gen=29 bestSolVal=14098.950000000004 t=1.442
gen=30 bestSolVal=14524.439999999995 t=1.49
gen=31 bestSolVal=14663.79 t=1.539
gen=35 bestSolVal=14848.730000000001 t=1.735
gen=39 bestSolVal=14885.290000000012 t=1.935
gen=40 bestSolVal=15038.669999999998 t=1.985
gen=42 bestSolVal=16004.08 t=2.085
gen=47 bestSolVal=17366.719999999994 t=2.342
gen=48 bestSolVal=17566.17999999999 t=2.394
gen=63 bestSolVal=17625.09999999999 t=3.141
gen=65 bestSolVal=18052.97 t=3.238
gen=67 bestSolVal=18083.77 t=3.336
gen=68 bestSolVal=18223.17 t=3.385
gen=70 bestSolVal=18333.129999999997 t=3.483
gen=71 bestSolVal=18431.54 t=3.532
gen=72 bestSolVal=18477.260000000006 t=3.582
gen=73 bestSolVal=18912.87000000001 t=3.631
gen=75 bestSolVal=18912.949999999986 t=3.73
gen=91 bestSolVal=19183.560000000005 t=4.52
gen=105 bestSolVal=19414.919999999995 t=5.207
gen=106 bestSolVal=19774.679999999986 t=5.256
gen=110 bestSolVal=19792.94000000001 t=5.453
gen=111 bestSolVal=19883.660000000003 t=5.502
gen=133 bestSolVal=19897.630000000005 t=6.59
gen=145 bestSolVal=19952.88 t=7.232
gen=176 bestSolVal=20033.019999999993 t=8.773
gen=180 bestSolVal=20207.18 t=8.971
gen=185 bestSolVal=20291.129999999997 t=9.218
gen=195 bestSolVal=20334.21000000001 t=9.712
gen=236 bestSolVal=20471.000000000004 t=11.76
gen=248 bestSolVal=20834.059999999987 t=12.361
gen=264 bestSolVal=20902.009999999984 t=13.17
gen=291 bestSolVal=20942.879999999997 t=14.533
gen=327 bestSolVal=20971.109999999993 t=16.367
gen=328 bestSolVal=21093.809999999998 t=16.418
gen=343 bestSolVal=21127.439999999995 t=17.196
gen=375 bestSolVal=21281.259999999995 t=18.898
gen=494 bestSolVal=21380.41999999999 t=24.977
Set coverage = [55, 65, 55, 59, 63, 65, 76, 64, 60, 66, 62, 72, 68, 67, 57, 63, 52, 65, 60, 50, 58, 56, 67, 50, 57, 70, 51, 62, 61, 61, 53, 67, 64, 65, 56, 63, 61, 61, 71, 61, 59, 55, 52, 67, 69, 60, 64, 68, 53, 79, 68, 64, 54, 53, 64, 68, 56, 64, 64, 57, 62, 55, 59, 63, 65, 63, 54, 61, 57, 58, 63, 61, 58, 59, 68, 62, 62, 66, 64, 62, 55, 61, 65, 59, 73, 62, 58, 54, 77, 53, 68, 67, 63, 58, 65, 53, 71, 67, 55, 59, 64, 66, 69, 65, 57, 65, 55, 53, 65, 69, 56, 57, 59, 61, 61, 59, 71, 59, 67, 64, 57, 69, 66, 59, 63, 60, 65, 56, 62, 57, 56, 54, 58, 65, 70, 67, 64, 63, 59, 59, 62, 57, 57, 60, 60, 65, 67, 71, 57, 68, 57, 61, 53, 63, 51, 58, 64, 65, 67, 60, 58, 50, 60, 66, 63, 60, 63, 63, 69, 65, 61, 65, 63, 62, 52, 54, 62, 63, 60, 58, 62, 65, 69, 46, 50, 62, 64, 59, 60, 61, 69, 62, 64, 72, 69, 62, 58, 54, 61, 58]
maxVal = Solution: cost=[21380.41999999999], size=[123], elements=[3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 27, 28, 30, 31, 32, 33, 37, 40, 41, 43, 44, 45, 46, 48, 49, 52, 53, 55, 56, 57, 58, 60, 61, 62, 64, 65, 67, 68, 69, 70, 71, 73, 76, 78, 79, 83, 84, 85, 87, 88, 89, 91, 93, 96, 97, 99, 101, 104, 106, 107, 108, 110, 111, 113, 114, 115, 116, 117, 118, 120, 121, 122, 123, 124, 125, 128, 130, 131, 132, 133, 137, 138, 141, 145, 147, 148, 151, 152, 153, 155, 157, 158, 160, 161, 162, 165, 168, 169, 173, 179, 181, 183, 185, 187, 188, 190, 191, 192, 193, 194, 195, 197, 198, 199]
Time = 24.99 seg
