Executando GA na instância instances/max_sc_qbf/exact_n200.txt com População = 100, Taxa de Mutação = 0.01 por 1000 gerações
Método de inicialização: Default
gen=0 bestSolVal=4566.600000000001 t=0.036
gen=1 bestSolVal=5903.380000000004 t=0.091
gen=2 bestSolVal=6043.300000000001 t=0.14
gen=3 bestSolVal=6347.729999999999 t=0.187
gen=4 bestSolVal=6408.1900000000005 t=0.234
gen=5 bestSolVal=6576.739999999999 t=0.28
gen=7 bestSolVal=7255.120000000001 t=0.372
gen=8 bestSolVal=7853.299999999999 t=0.418
gen=10 bestSolVal=8229.259999999997 t=0.509
gen=11 bestSolVal=8600.089999999997 t=0.555
gen=12 bestSolVal=8880.79 t=0.601
gen=13 bestSolVal=9344.940000000004 t=0.646
gen=14 bestSolVal=9447.550000000003 t=0.692
gen=16 bestSolVal=10281.170000000002 t=0.783
gen=17 bestSolVal=10289.41 t=0.828
gen=18 bestSolVal=11014.340000000006 t=0.875
gen=19 bestSolVal=11084.920000000002 t=0.921
gen=20 bestSolVal=11703.95 t=0.967
gen=21 bestSolVal=12278.150000000001 t=1.014
gen=22 bestSolVal=12324.449999999997 t=1.06
gen=23 bestSolVal=12416.540000000006 t=1.108
gen=25 bestSolVal=12571.69 t=1.2
gen=26 bestSolVal=13064.790000000003 t=1.248
gen=28 bestSolVal=13743.329999999998 t=1.343
gen=29 bestSolVal=13954.319999999992 t=1.391
gen=30 bestSolVal=13964.930000000004 t=1.438
gen=31 bestSolVal=14194.980000000001 t=1.486
gen=36 bestSolVal=14685.76 t=1.727
gen=38 bestSolVal=14821.199999999997 t=1.825
gen=42 bestSolVal=14944.01 t=2.024
gen=45 bestSolVal=15094.140000000003 t=2.172
gen=46 bestSolVal=15370.84 t=2.221
gen=49 bestSolVal=15932.620000000003 t=2.633
gen=53 bestSolVal=15956.340000000004 t=3.001
gen=56 bestSolVal=15963.129999999997 t=3.209
gen=58 bestSolVal=16290.27 t=3.379
gen=59 bestSolVal=16429.0 t=3.453
gen=61 bestSolVal=16480.620000000003 t=3.559
gen=62 bestSolVal=16906.26 t=3.619
gen=66 bestSolVal=17837.940000000002 t=3.854
gen=68 bestSolVal=17942.479999999992 t=3.967
gen=73 bestSolVal=17964.689999999995 t=4.368
gen=78 bestSolVal=18192.59999999999 t=4.642
gen=82 bestSolVal=18363.809999999994 t=4.839
gen=87 bestSolVal=18387.94 t=5.085
gen=88 bestSolVal=18438.51 t=5.135
gen=89 bestSolVal=18481.229999999996 t=5.184
gen=116 bestSolVal=18804.179999999997 t=6.549
gen=128 bestSolVal=18819.63999999999 t=7.159
gen=143 bestSolVal=18831.56 t=7.901
gen=156 bestSolVal=18958.179999999997 t=8.571
gen=172 bestSolVal=18959.020000000004 t=9.477
gen=174 bestSolVal=19007.829999999998 t=9.58
gen=186 bestSolVal=19052.829999999987 t=10.192
gen=190 bestSolVal=19148.289999999983 t=10.394
gen=197 bestSolVal=19557.82999999999 t=10.75
gen=210 bestSolVal=19603.129999999986 t=11.404
gen=224 bestSolVal=19607.269999999986 t=12.111
gen=226 bestSolVal=19767.769999999986 t=12.214
gen=281 bestSolVal=19905.04999999999 t=15.056
gen=288 bestSolVal=19946.99999999999 t=15.445
gen=299 bestSolVal=20040.919999999995 t=16.039
gen=315 bestSolVal=20120.34999999999 t=16.877
gen=348 bestSolVal=20202.909999999996 t=18.61
gen=349 bestSolVal=20203.919999999987 t=18.662
gen=350 bestSolVal=20374.469999999987 t=18.713
gen=386 bestSolVal=20392.209999999992 t=20.6
gen=407 bestSolVal=20433.61999999999 t=21.654
gen=408 bestSolVal=20483.000000000007 t=21.704
gen=419 bestSolVal=20571.580000000013 t=22.256
gen=425 bestSolVal=20632.260000000013 t=22.556
gen=502 bestSolVal=20666.650000000012 t=26.475
gen=583 bestSolVal=20702.390000000014 t=30.593
gen=585 bestSolVal=20853.90000000002 t=30.695
gen=772 bestSolVal=20872.58 t=40.114
gen=827 bestSolVal=20875.500000000004 t=42.903
gen=876 bestSolVal=20893.18 t=45.374
gen=959 bestSolVal=20910.780000000006 t=49.581
gen=1212 bestSolVal=20940.899999999994 t=62.794
gen=1222 bestSolVal=20977.089999999993 t=63.635
gen=1330 bestSolVal=21162.089999999993 t=69.41
gen=1487 bestSolVal=21188.820000000018 t=77.313
gen=1507 bestSolVal=21222.219999999994 t=78.311
gen=1591 bestSolVal=21228.43 t=82.546
gen=1744 bestSolVal=21230.480000000014 t=90.343
gen=2098 bestSolVal=21287.15000000002 t=108.219
gen=2110 bestSolVal=21293.29 t=108.825
gen=2152 bestSolVal=21348.970000000005 t=110.967
Set coverage = [56, 63, 52, 54, 63, 64, 71, 58, 58, 67, 59, 69, 67, 66, 54, 59, 52, 66, 66, 53, 58, 62, 65, 54, 56, 66, 51, 64, 57, 55, 53, 64, 63, 66, 56, 67, 58, 59, 69, 63, 66, 59, 50, 68, 62, 61, 66, 67, 53, 82, 63, 60, 56, 55, 67, 67, 55, 63, 60, 54, 64, 54, 60, 66, 62, 65, 52, 62, 57, 56, 68, 60, 64, 54, 70, 57, 63, 64, 58, 62, 56, 66, 63, 57, 63, 64, 62, 53, 73, 54, 63, 65, 57, 52, 61, 55, 71, 66, 59, 59, 64, 67, 59, 64, 56, 57, 55, 51, 61, 68, 53, 57, 61, 65, 61, 61, 68, 58, 63, 66, 55, 66, 60, 58, 63, 62, 62, 53, 64, 55, 56, 53, 57, 66, 67, 67, 65, 56, 58, 56, 58, 53, 56, 64, 60, 59, 67, 71, 57, 71, 53, 64, 53, 59, 55, 59, 68, 64, 70, 65, 54, 51, 58, 67, 64, 57, 60, 62, 70, 59, 60, 67, 61, 56, 49, 51, 63, 64, 61, 60, 64, 58, 66, 44, 51, 61, 57, 60, 57, 60, 63, 63, 57, 62, 62, 56, 53, 61, 60, 57]
maxVal = Solution: cost=[21348.970000000005], size=[121], elements=[3, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 27, 28, 30, 31, 32, 33, 35, 36, 39, 40, 41, 43, 47, 48, 49, 52, 54, 55, 58, 60, 61, 62, 64, 65, 67, 68, 70, 71, 73, 75, 76, 78, 79, 80, 82, 85, 86, 87, 88, 89, 91, 93, 96, 97, 99, 101, 102, 104, 106, 107, 108, 110, 111, 114, 115, 118, 121, 122, 123, 124, 125, 127, 128, 130, 132, 133, 137, 138, 141, 143, 144, 145, 147, 148, 149, 151, 152, 153, 155, 157, 160, 161, 162, 163, 168, 171, 172, 173, 175, 176, 177, 181, 182, 183, 185, 187, 190, 191, 192, 194, 195, 199]
Time = 110.98 seg
