Executando GA na instância instances/max_sc_qbf/exact_n200.txt com População = 100, Taxa de Mutação = 0.01 por 1000 gerações
Método de inicialização: Default
gen=0 bestSolVal=2459.6400000000003 t=0.035
gen=1 bestSolVal=3867.730000000001 t=0.09
gen=2 bestSolVal=3883.810000000001 t=0.139
gen=4 bestSolVal=4472.730000000001 t=0.234
gen=5 bestSolVal=5445.6500000000015 t=0.281
gen=7 bestSolVal=6352.500000000001 t=0.375
gen=9 bestSolVal=7580.830000000003 t=0.469
gen=13 bestSolVal=8554.559999999996 t=0.657
gen=15 bestSolVal=9657.980000000001 t=0.751
gen=16 bestSolVal=9993.779999999995 t=0.798
gen=18 bestSolVal=10809.830000000002 t=0.891
gen=20 bestSolVal=11446.170000000002 t=0.984
gen=21 bestSolVal=11476.019999999997 t=1.031
gen=23 bestSolVal=11672.15 t=1.124
gen=25 bestSolVal=12026.959999999997 t=1.215
gen=26 bestSolVal=12119.459999999995 t=1.261
gen=27 bestSolVal=12123.519999999999 t=1.307
gen=28 bestSolVal=12196.720000000001 t=1.353
gen=29 bestSolVal=12705.499999999996 t=1.399
gen=30 bestSolVal=13235.860000000002 t=1.445
gen=31 bestSolVal=13399.02 t=1.491
gen=32 bestSolVal=13685.57 t=1.538
gen=34 bestSolVal=13920.66 t=1.631
gen=35 bestSolVal=14372.120000000006 t=1.678
gen=36 bestSolVal=14414.830000000005 t=1.725
gen=40 bestSolVal=15363.220000000005 t=1.917
gen=45 bestSolVal=16444.749999999996 t=2.159
gen=48 bestSolVal=16835.28 t=2.305
gen=50 bestSolVal=17694.799999999992 t=2.401
gen=58 bestSolVal=17968.2 t=2.792
gen=63 bestSolVal=18250.819999999985 t=3.037
gen=70 bestSolVal=18347.949999999993 t=3.384
gen=71 bestSolVal=18798.959999999995 t=3.434
gen=74 bestSolVal=18845.559999999998 t=3.585
gen=82 bestSolVal=19145.430000000004 t=3.976
gen=85 bestSolVal=19228.10000000001 t=4.123
gen=89 bestSolVal=19256.329999999984 t=4.32
gen=94 bestSolVal=19403.660000000003 t=4.566
gen=101 bestSolVal=19936.589999999997 t=4.919
gen=108 bestSolVal=20132.599999999988 t=5.284
gen=118 bestSolVal=20207.790000000005 t=5.797
gen=119 bestSolVal=20217.13 t=5.847
gen=120 bestSolVal=20306.61 t=5.898
gen=142 bestSolVal=20367.329999999994 t=6.983
gen=153 bestSolVal=20556.190000000013 t=7.526
gen=222 bestSolVal=20616.13 t=10.934
gen=261 bestSolVal=20629.049999999996 t=12.857
gen=272 bestSolVal=20656.629999999994 t=13.404
gen=274 bestSolVal=20705.560000000005 t=13.502
gen=371 bestSolVal=20956.4 t=18.34
gen=396 bestSolVal=20995.48 t=19.904
gen=486 bestSolVal=21050.6 t=24.707
gen=498 bestSolVal=21065.420000000006 t=25.312
gen=539 bestSolVal=21141.07 t=27.367
gen=552 bestSolVal=21168.47000000001 t=28.027
gen=553 bestSolVal=21242.370000000006 t=28.078
gen=598 bestSolVal=21318.950000000004 t=30.395
Set coverage = [61, 64, 59, 53, 62, 59, 80, 63, 62, 63, 59, 70, 69, 70, 58, 62, 53, 68, 65, 48, 59, 57, 63, 54, 56, 69, 50, 58, 61, 57, 55, 67, 66, 66, 60, 64, 64, 60, 72, 61, 57, 56, 48, 71, 67, 64, 65, 67, 53, 78, 66, 63, 59, 56, 66, 68, 57, 62, 64, 59, 61, 59, 61, 63, 63, 57, 55, 61, 56, 57, 61, 58, 65, 60, 69, 60, 66, 65, 61, 61, 56, 72, 63, 55, 65, 65, 62, 58, 80, 53, 65, 65, 64, 60, 64, 52, 70, 65, 58, 66, 64, 64, 64, 65, 57, 61, 56, 52, 65, 68, 55, 57, 67, 65, 59, 53, 71, 57, 69, 69, 60, 68, 68, 61, 60, 59, 63, 57, 61, 52, 54, 53, 58, 70, 70, 66, 69, 59, 59, 62, 59, 51, 58, 61, 57, 66, 68, 75, 55, 71, 56, 59, 56, 58, 51, 55, 66, 70, 67, 60, 56, 52, 65, 69, 61, 60, 64, 61, 67, 66, 56, 71, 61, 59, 56, 54, 63, 64, 62, 61, 60, 66, 67, 43, 52, 62, 60, 60, 60, 59, 66, 66, 54, 68, 63, 60, 55, 58, 60, 57]
maxVal = Solution: cost=[21318.950000000004], size=[123], elements=[3, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 28, 30, 31, 32, 33, 36, 40, 41, 43, 44, 45, 48, 49, 50, 51, 52, 53, 54, 55, 56, 58, 62, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 75, 76, 78, 79, 83, 85, 87, 88, 91, 93, 96, 97, 99, 101, 102, 104, 105, 106, 107, 108, 109, 110, 111, 113, 114, 115, 117, 118, 119, 121, 122, 123, 124, 125, 128, 130, 131, 132, 133, 137, 141, 143, 145, 147, 148, 149, 151, 153, 155, 157, 158, 160, 161, 162, 163, 167, 168, 169, 172, 173, 175, 177, 181, 185, 187, 191, 192, 194, 195, 196, 197, 198, 199]
Time = 30.415 seg
