Executando GA na instância instances/max_sc_qbf/exact_n200.txt com População = 100, Taxa de Mutação = 0.01 por 1000 gerações
Método de inicialização: Default
gen=0 bestSolVal=3251.500000000001 t=0.036
gen=2 bestSolVal=3610.0100000000007 t=0.141
gen=3 bestSolVal=4402.220000000001 t=0.192
gen=4 bestSolVal=5164.619999999998 t=0.24
gen=6 bestSolVal=7188.930000000001 t=0.336
gen=7 bestSolVal=7650.790000000004 t=0.385
gen=9 bestSolVal=7986.250000000002 t=0.483
gen=10 bestSolVal=8456.769999999999 t=0.532
gen=13 bestSolVal=8905.309999999998 t=0.683
gen=14 bestSolVal=9042.309999999998 t=0.732
gen=15 bestSolVal=9901.720000000001 t=0.782
gen=16 bestSolVal=10091.260000000004 t=0.832
gen=17 bestSolVal=11205.130000000006 t=0.882
gen=18 bestSolVal=11858.759999999998 t=0.932
gen=19 bestSolVal=12168.380000000006 t=0.982
gen=20 bestSolVal=12208.089999999998 t=1.032
gen=21 bestSolVal=12571.72 t=1.083
gen=22 bestSolVal=13001.789999999997 t=1.133
gen=24 bestSolVal=13038.17 t=1.233
gen=25 bestSolVal=13199.169999999995 t=1.283
gen=27 bestSolVal=13768.389999999998 t=1.382
gen=28 bestSolVal=14097.83 t=1.432
gen=29 bestSolVal=14393.890000000005 t=1.482
gen=30 bestSolVal=14418.079999999998 t=1.533
gen=34 bestSolVal=14670.080000000005 t=1.735
gen=35 bestSolVal=14874.789999999999 t=1.786
gen=36 bestSolVal=15431.189999999991 t=1.838
gen=41 bestSolVal=15501.689999999997 t=2.091
gen=42 bestSolVal=15588.329999999996 t=2.141
gen=43 bestSolVal=15631.579999999996 t=2.19
gen=44 bestSolVal=15799.500000000005 t=2.241
gen=45 bestSolVal=15903.009999999993 t=2.29
gen=46 bestSolVal=16021.080000000002 t=2.34
gen=47 bestSolVal=16328.819999999998 t=2.389
gen=49 bestSolVal=16531.21000000001 t=2.489
gen=51 bestSolVal=16995.639999999992 t=2.589
gen=54 bestSolVal=17159.869999999995 t=2.74
gen=58 bestSolVal=17363.109999999997 t=2.946
gen=60 bestSolVal=17725.88000000001 t=3.051
gen=62 bestSolVal=17779.47000000001 t=3.153
gen=64 bestSolVal=18125.37000000001 t=3.255
gen=68 bestSolVal=18270.910000000003 t=3.461
gen=76 bestSolVal=18735.000000000004 t=3.868
gen=77 bestSolVal=19076.19999999999 t=3.919
gen=80 bestSolVal=19255.029999999995 t=4.072
gen=85 bestSolVal=19395.489999999983 t=4.325
gen=87 bestSolVal=19447.76 t=4.426
