Executando GA na instância instances/max_sc_qbf/exact_n200.txt com População = 100, Taxa de Mutação = 0.01 por 1000 gerações
Método de inicialização: Default
gen=0 bestSolVal=3565.36 t=0.036
gen=1 bestSolVal=4664.049999999995 t=0.091
gen=3 bestSolVal=4813.51 t=0.188
gen=5 bestSolVal=5916.950000000002 t=0.281
gen=7 bestSolVal=6365.179999999999 t=0.375
gen=8 bestSolVal=6583.389999999997 t=0.422
gen=9 bestSolVal=7533.67 t=0.469
gen=10 bestSolVal=7608.290000000001 t=0.516
gen=11 bestSolVal=7768.760000000003 t=0.564
gen=12 bestSolVal=8275.98 t=0.611
gen=13 bestSolVal=8442.419999999998 t=0.658
gen=15 bestSolVal=9479.060000000003 t=0.754
gen=16 bestSolVal=9542.86 t=0.802
gen=17 bestSolVal=9682.029999999999 t=0.849
gen=18 bestSolVal=10315.630000000001 t=0.897
gen=20 bestSolVal=10623.870000000003 t=0.993
gen=21 bestSolVal=11631.539999999999 t=1.042
gen=22 bestSolVal=11741.129999999997 t=1.091
gen=24 bestSolVal=11794.419999999998 t=1.187
gen=25 bestSolVal=12141.870000000008 t=1.235
gen=27 bestSolVal=13547.120000000006 t=1.332
gen=30 bestSolVal=13975.490000000007 t=1.478
gen=35 bestSolVal=14837.130000000005 t=1.725
gen=37 bestSolVal=14981.899999999998 t=1.825
gen=38 bestSolVal=15439.900000000001 t=1.875
gen=42 bestSolVal=15880.540000000003 t=2.078
gen=44 bestSolVal=16393.92000000001 t=2.176
gen=46 bestSolVal=16453.52000000001 t=2.275
gen=50 bestSolVal=16655.820000000003 t=2.479
gen=52 bestSolVal=16725.100000000013 t=2.583
gen=53 bestSolVal=16836.36 t=2.634
gen=54 bestSolVal=17270.550000000014 t=2.685
gen=55 bestSolVal=17499.47 t=2.737
gen=56 bestSolVal=17572.41000000001 t=2.786
gen=57 bestSolVal=17675.250000000007 t=2.836
gen=59 bestSolVal=17698.300000000007 t=2.937
gen=60 bestSolVal=17842.11000000001 t=2.987
gen=66 bestSolVal=17860.920000000002 t=3.288
gen=67 bestSolVal=18606.38000000001 t=3.338
gen=79 bestSolVal=18945.549999999992 t=3.936
gen=80 bestSolVal=19090.819999999996 t=3.987
gen=82 bestSolVal=19356.600000000006 t=4.088
gen=94 bestSolVal=19559.92 t=4.695
gen=96 bestSolVal=19823.499999999993 t=4.798
gen=97 bestSolVal=19951.230000000003 t=4.848
gen=98 bestSolVal=20121.709999999995 t=4.899
gen=124 bestSolVal=20212.86000000001 t=6.212
gen=125 bestSolVal=20232.9 t=6.263
gen=126 bestSolVal=20472.440000000013 t=6.313
gen=133 bestSolVal=20549.329999999994 t=6.665
gen=138 bestSolVal=20700.900000000005 t=6.918
gen=139 bestSolVal=20819.739999999998 t=6.968
gen=156 bestSolVal=20830.68000000002 t=8.325
gen=176 bestSolVal=20924.059999999994 t=9.497
gen=192 bestSolVal=21357.56 t=10.305
Set coverage = [56, 63, 57, 57, 60, 62, 77, 60, 56, 60, 55, 69, 67, 68, 58, 58, 53, 66, 63, 50, 57, 62, 62, 50, 55, 61, 49, 61, 60, 52, 50, 61, 65, 64, 60, 60, 58, 62, 70, 58, 58, 58, 50, 66, 65, 59, 59, 63, 54, 79, 60, 63, 53, 60, 60, 66, 52, 61, 57, 57, 61, 58, 56, 63, 63, 57, 59, 64, 57, 59, 64, 59, 61, 58, 63, 63, 61, 63, 59, 61, 56, 65, 63, 55, 70, 66, 54, 51, 76, 49, 65, 67, 61, 55, 65, 53, 70, 64, 61, 59, 61, 63, 62, 64, 53, 63, 55, 49, 68, 65, 56, 55, 61, 58, 59, 56, 68, 59, 66, 66, 59, 67, 68, 58, 65, 55, 56, 53, 59, 55, 55, 55, 54, 64, 66, 70, 60, 63, 59, 59, 58, 49, 53, 64, 60, 62, 63, 64, 61, 67, 56, 55, 54, 57, 57, 57, 62, 63, 63, 62, 55, 56, 62, 68, 63, 62, 60, 64, 63, 60, 54, 61, 64, 61, 51, 53, 64, 61, 60, 58, 57, 64, 62, 43, 49, 61, 58, 56, 58, 62, 61, 62, 61, 70, 68, 56, 57, 57, 62, 56]
maxVal = Solution: cost=[21357.56], size=[120], elements=[3, 4, 5, 6, 7, 9, 10, 11, 14, 15, 16, 20, 21, 22, 24, 25, 27, 28, 30, 31, 32, 33, 40, 41, 42, 43, 45, 46, 48, 49, 50, 51, 52, 54, 55, 56, 57, 58, 60, 61, 62, 64, 65, 66, 67, 68, 69, 70, 71, 73, 76, 78, 84, 85, 88, 91, 93, 95, 96, 97, 99, 101, 104, 105, 106, 108, 109, 110, 111, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 127, 128, 130, 131, 132, 137, 138, 141, 145, 147, 148, 151, 152, 153, 155, 157, 158, 160, 161, 162, 163, 165, 168, 169, 173, 175, 177, 181, 183, 185, 187, 190, 191, 192, 193, 194, 195, 197]
Time = 10.317 seg
