Executando GA na instância instances/max_sc_qbf/exact_n200.txt com População = 100, Taxa de Mutação = 0.01 por 1000 gerações
Método de inicialização: Default
gen=0 bestSolVal=4006.1799999999985 t=0.035
gen=2 bestSolVal=4984.250000000003 t=0.138
gen=3 bestSolVal=5747.319999999998 t=0.188
gen=4 bestSolVal=5996.079999999998 t=0.235
gen=5 bestSolVal=6071.469999999999 t=0.282
gen=6 bestSolVal=6498.1900000000005 t=0.329
gen=7 bestSolVal=6761.749999999997 t=0.376
gen=9 bestSolVal=7214.460000000003 t=0.471
gen=10 bestSolVal=10119.189999999999 t=0.519
gen=13 bestSolVal=10413.199999999997 t=0.663
gen=19 bestSolVal=10808.57 t=0.947
gen=20 bestSolVal=11425.720000000001 t=0.994
gen=21 bestSolVal=11642.599999999997 t=1.041
gen=22 bestSolVal=11845.26 t=1.087
gen=23 bestSolVal=11965.430000000008 t=1.134
gen=24 bestSolVal=12477.620000000003 t=1.181
gen=25 bestSolVal=13035.170000000006 t=1.227
gen=26 bestSolVal=13233.099999999997 t=1.274
gen=27 bestSolVal=13235.119999999997 t=1.32
gen=28 bestSolVal=13555.130000000008 t=1.367
gen=31 bestSolVal=13632.540000000003 t=1.509
gen=32 bestSolVal=13918.100000000008 t=1.557
gen=33 bestSolVal=13959.280000000004 t=1.605
gen=36 bestSolVal=14459.20000000001 t=1.751
gen=37 bestSolVal=14743.31999999999 t=1.799
gen=38 bestSolVal=15232.480000000005 t=1.847
gen=41 bestSolVal=15528.810000000007 t=1.99
gen=43 bestSolVal=15600.840000000002 t=2.085
gen=44 bestSolVal=15770.330000000005 t=2.133
gen=47 bestSolVal=16049.529999999997 t=2.275
gen=49 bestSolVal=16210.569999999994 t=2.371
gen=50 bestSolVal=16705.379999999997 t=2.418
gen=51 bestSolVal=16888.089999999997 t=2.466
gen=52 bestSolVal=16907.390000000003 t=2.514
gen=53 bestSolVal=16996.65000000001 t=2.562
gen=55 bestSolVal=17028.080000000005 t=2.657
gen=57 bestSolVal=17255.82 t=2.753
gen=59 bestSolVal=17469.950000000008 t=2.85
gen=60 bestSolVal=17535.870000000006 t=2.898
gen=61 bestSolVal=17560.920000000006 t=2.947
gen=62 bestSolVal=18296.390000000007 t=2.994
gen=63 bestSolVal=18473.730000000003 t=3.042
gen=71 bestSolVal=18673.53000000001 t=3.433
gen=72 bestSolVal=18763.54000000001 t=3.482
gen=75 bestSolVal=18839.16000000001 t=3.628
gen=76 bestSolVal=18851.22000000001 t=3.677
gen=88 bestSolVal=19065.920000000013 t=4.286
gen=89 bestSolVal=19108.46 t=4.336
gen=90 bestSolVal=19171.139999999996 t=4.387
gen=95 bestSolVal=19192.149999999998 t=4.636
gen=100 bestSolVal=19248.059999999994 t=4.887
gen=101 bestSolVal=19617.44 t=4.938
gen=104 bestSolVal=19632.1 t=5.087
gen=139 bestSolVal=19785.440000000002 t=6.825
gen=141 bestSolVal=19823.800000000017 t=6.926
gen=144 bestSolVal=19928.070000000007 t=7.078
gen=155 bestSolVal=20096.950000000004 t=7.679
gen=163 bestSolVal=20566.66 t=8.097
gen=185 bestSolVal=20728.17 t=9.277
gen=219 bestSolVal=20759.280000000006 t=11.01
gen=237 bestSolVal=21015.000000000004 t=11.932
gen=240 bestSolVal=21043.74000000001 t=12.085
gen=257 bestSolVal=21143.41 t=12.951
gen=365 bestSolVal=21481.809999999998 t=18.518
Set coverage = [61, 69, 60, 60, 66, 66, 81, 63, 59, 69, 60, 72, 73, 74, 58, 66, 55, 73, 66, 59, 61, 66, 65, 56, 59, 70, 53, 63, 60, 59, 53, 67, 70, 68, 61, 66, 65, 64, 71, 62, 59, 61, 56, 72, 69, 67, 69, 66, 54, 83, 66, 69, 57, 61, 66, 75, 55, 68, 62, 65, 67, 61, 62, 69, 69, 63, 59, 64, 61, 62, 67, 62, 67, 63, 67, 64, 67, 66, 64, 66, 59, 68, 68, 60, 73, 67, 61, 56, 82, 55, 66, 70, 64, 59, 70, 58, 73, 71, 63, 63, 66, 67, 66, 67, 58, 64, 58, 57, 71, 70, 59, 56, 65, 67, 66, 59, 74, 62, 70, 72, 62, 69, 69, 61, 67, 67, 66, 59, 66, 60, 63, 57, 58, 71, 73, 70, 67, 64, 64, 64, 63, 57, 58, 65, 60, 70, 68, 69, 63, 74, 60, 60, 57, 66, 59, 60, 68, 69, 71, 70, 64, 58, 63, 70, 69, 64, 63, 68, 70, 66, 63, 67, 66, 63, 59, 60, 68, 64, 63, 60, 64, 69, 67, 50, 53, 63, 67, 63, 64, 65, 67, 65, 65, 68, 72, 60, 58, 62, 66, 61]
maxVal = Solution: cost=[21481.809999999998], size=[129], elements=[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22, 23, 24, 25, 27, 28, 30, 31, 32, 33, 36, 40, 41, 42, 43, 44, 46, 47, 48, 49, 51, 52, 54, 55, 56, 57, 58, 60, 61, 62, 64, 65, 66, 68, 69, 70, 71, 73, 75, 76, 78, 79, 80, 83, 84, 85, 88, 91, 93, 95, 96, 97, 99, 101, 104, 106, 107, 108, 109, 110, 111, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 127, 128, 130, 131, 132, 137, 138, 141, 143, 145, 147, 148, 151, 152, 153, 155, 157, 158, 160, 161, 162, 168, 169, 173, 175, 177, 181, 183, 185, 187, 189, 190, 191, 192, 193, 194, 195, 196, 197, 199]
Time = 18.531 seg
