Executando GA na instância instances/max_sc_qbf/exact_n200.txt com População = 100, Taxa de Mutação = 0.01 por 1000 gerações
Método de inicialização: Default
gen=0 bestSolVal=4315.030000000002 t=0.035
gen=4 bestSolVal=4715.34 t=0.232
gen=5 bestSolVal=5090.899999999997 t=0.284
gen=6 bestSolVal=5915.37 t=0.33
gen=9 bestSolVal=6480.479999999998 t=0.467
gen=10 bestSolVal=7512.839999999996 t=0.512
gen=11 bestSolVal=8151.419999999998 t=0.558
gen=12 bestSolVal=8509.860000000002 t=0.604
gen=13 bestSolVal=9336.18 t=0.65
gen=15 bestSolVal=9884.679999999998 t=0.743
gen=17 bestSolVal=10132.200000000004 t=0.837
gen=18 bestSolVal=10703.61 t=0.885
gen=21 bestSolVal=11364.710000000001 t=1.027
gen=25 bestSolVal=12276.260000000002 t=1.216
gen=27 bestSolVal=12681.54 t=1.31
gen=28 bestSolVal=13072.919999999998 t=1.357
gen=29 bestSolVal=13350.56 t=1.405
gen=30 bestSolVal=14042.800000000001 t=1.452
gen=31 bestSolVal=14353.259999999997 t=1.5
gen=34 bestSolVal=14493.540000000003 t=1.644
gen=36 bestSolVal=14815.279999999997 t=1.741
gen=37 bestSolVal=15399.720000000005 t=1.79
gen=38 bestSolVal=15480.359999999999 t=1.838
gen=40 bestSolVal=15528.189999999997 t=1.936
gen=43 bestSolVal=15817.230000000001 t=2.083
gen=47 bestSolVal=16005.289999999999 t=2.277
gen=48 bestSolVal=16198.250000000007 t=2.326
gen=49 bestSolVal=16272.04 t=2.375
gen=50 bestSolVal=16744.50000000001 t=2.424
gen=53 bestSolVal=16996.290000000015 t=2.569
gen=54 bestSolVal=17595.35000000001 t=2.618
gen=57 bestSolVal=17731.640000000007 t=2.765
gen=66 bestSolVal=18108.119999999995 t=3.206
gen=67 bestSolVal=18197.960000000003 t=3.255
gen=70 bestSolVal=18465.950000000008 t=3.4
gen=72 bestSolVal=18607.880000000005 t=3.496
gen=75 bestSolVal=18641.96 t=3.642
gen=80 bestSolVal=18647.510000000006 t=3.885
gen=81 bestSolVal=18662.200000000004 t=3.934
gen=87 bestSolVal=18922.30000000001 t=4.227
gen=102 bestSolVal=19047.54 t=4.971
gen=110 bestSolVal=19049.909999999993 t=5.373
gen=113 bestSolVal=19305.040000000008 t=5.524
gen=115 bestSolVal=19446.66000000001 t=5.625
gen=131 bestSolVal=19487.500000000015 t=6.423
gen=140 bestSolVal=19527.48 t=6.867
gen=143 bestSolVal=19586.730000000007 t=7.015
gen=152 bestSolVal=19675.570000000007 t=7.463
gen=163 bestSolVal=19721.99 t=8.008
gen=166 bestSolVal=20065.269999999997 t=8.158
gen=179 bestSolVal=20182.609999999993 t=8.801
gen=185 bestSolVal=20344.810000000005 t=9.099
gen=202 bestSolVal=20389.970000000005 t=9.954
gen=206 bestSolVal=20407.490000000013 t=10.157
gen=231 bestSolVal=20423.32 t=11.466
gen=243 bestSolVal=20439.850000000006 t=12.082
gen=257 bestSolVal=20516.999999999993 t=12.779
gen=264 bestSolVal=20555.7 t=13.131
gen=288 bestSolVal=20569.39 t=14.334
gen=296 bestSolVal=20636.480000000007 t=14.734
gen=312 bestSolVal=20835.700000000004 t=15.551
gen=328 bestSolVal=20872.490000000005 t=16.346
gen=329 bestSolVal=20903.739999999987 t=16.396
gen=331 bestSolVal=20923.39999999998 t=16.494
gen=381 bestSolVal=21002.27 t=18.972
gen=395 bestSolVal=21063.25 t=19.664
gen=440 bestSolVal=21088.819999999992 t=21.889
gen=566 bestSolVal=21139.500000000004 t=28.056
gen=649 bestSolVal=21146.519999999986 t=32.755
gen=654 bestSolVal=21155.85999999999 t=32.999
gen=704 bestSolVal=21167.829999999994 t=35.444
gen=713 bestSolVal=21369.64000000001 t=35.884
Set coverage = [57, 57, 58, 50, 57, 57, 75, 60, 55, 53, 52, 67, 60, 68, 50, 53, 50, 62, 57, 44, 50, 54, 59, 51, 55, 59, 47, 54, 53, 53, 50, 60, 58, 60, 56, 57, 57, 58, 67, 57, 54, 50, 52, 63, 58, 57, 58, 59, 51, 72, 59, 57, 54, 51, 61, 61, 50, 54, 58, 53, 57, 54, 54, 58, 58, 52, 55, 55, 52, 52, 60, 52, 60, 51, 61, 54, 60, 61, 58, 58, 55, 66, 58, 54, 60, 61, 52, 53, 77, 51, 58, 59, 55, 56, 60, 50, 65, 56, 54, 57, 57, 60, 58, 57, 55, 55, 54, 45, 59, 63, 50, 52, 59, 58, 52, 48, 65, 55, 63, 66, 57, 62, 62, 55, 55, 54, 54, 51, 54, 51, 50, 50, 51, 64, 62, 62, 65, 56, 55, 57, 53, 47, 55, 57, 55, 63, 60, 68, 51, 66, 50, 54, 52, 55, 46, 50, 58, 66, 61, 54, 51, 52, 64, 58, 57, 58, 57, 64, 63, 64, 54, 65, 54, 55, 52, 52, 59, 65, 56, 55, 54, 60, 60, 44, 46, 58, 49, 52, 55, 54, 58, 62, 55, 60, 61, 54, 53, 54, 56, 53]
maxVal = Solution: cost=[21369.64000000001], size=[113], elements=[3, 5, 6, 7, 10, 11, 13, 15, 16, 20, 21, 24, 25, 28, 31, 32, 33, 34, 36, 38, 40, 41, 42, 43, 44, 45, 49, 50, 51, 52, 53, 54, 55, 56, 58, 60, 61, 62, 65, 66, 67, 68, 69, 70, 71, 72, 73, 75, 76, 78, 79, 85, 87, 88, 91, 93, 95, 96, 99, 101, 102, 104, 105, 106, 109, 110, 111, 114, 115, 117, 118, 119, 121, 122, 123, 124, 125, 128, 130, 131, 132, 133, 137, 141, 143, 145, 147, 148, 151, 153, 155, 157, 158, 160, 161, 162, 165, 167, 168, 170, 172, 173, 175, 181, 185, 187, 191, 192, 194, 195, 196, 197, 199]
Time = 35.896 seg
