Executando GA na instância instances/max_sc_qbf/exact_n200.txt com População = 100, Taxa de Mutação = 0.01 por 1000 gerações
Método de inicialização: Default
gen=0 bestSolVal=3551.339999999999 t=0.035
gen=1 bestSolVal=4182.409999999999 t=0.091
gen=2 bestSolVal=5683.530000000001 t=0.141
gen=4 bestSolVal=5743.309999999997 t=0.235
gen=5 bestSolVal=5940.200000000002 t=0.282
gen=6 bestSolVal=7288.550000000001 t=0.329
gen=7 bestSolVal=7645.919999999999 t=0.377
gen=11 bestSolVal=9099.490000000003 t=0.57
gen=13 bestSolVal=9131.47 t=0.667
gen=14 bestSolVal=9425.390000000001 t=0.716
gen=15 bestSolVal=10096.609999999999 t=0.765
gen=16 bestSolVal=10695.320000000002 t=0.814
gen=17 bestSolVal=11555.05 t=0.863
gen=18 bestSolVal=11931.289999999995 t=0.912
gen=22 bestSolVal=12689.999999999998 t=1.11
gen=23 bestSolVal=12821.77 t=1.158
gen=25 bestSolVal=13249.85000000001 t=1.255
gen=26 bestSolVal=13622.79 t=1.305
gen=28 bestSolVal=13856.440000000008 t=1.404
gen=29 bestSolVal=13904.170000000002 t=1.454
gen=30 bestSolVal=14367.509999999993 t=1.503
gen=32 bestSolVal=14928.759999999995 t=1.602
gen=33 bestSolVal=15246.930000000002 t=1.651
gen=34 bestSolVal=15269.460000000005 t=1.701
gen=35 bestSolVal=15670.580000000002 t=1.752
gen=39 bestSolVal=15733.699999999993 t=1.953
gen=40 bestSolVal=16173.850000000006 t=2.003
gen=41 bestSolVal=16679.359999999997 t=2.054
gen=45 bestSolVal=17571.530000000002 t=2.253
gen=51 bestSolVal=17844.2 t=2.553
gen=54 bestSolVal=18252.810000000005 t=2.705
gen=55 bestSolVal=18329.940000000006 t=2.755
gen=56 bestSolVal=18558.36 t=2.806
gen=59 bestSolVal=18683.92 t=2.959
gen=66 bestSolVal=18758.359999999975 t=3.315
gen=72 bestSolVal=18887.479999999996 t=3.63
gen=74 bestSolVal=19615.01999999999 t=3.734
gen=82 bestSolVal=19788.60999999999 t=4.145
gen=93 bestSolVal=19993.960000000006 t=4.707
gen=94 bestSolVal=20199.93000000001 t=4.759
gen=98 bestSolVal=20352.470000000005 t=4.962
gen=116 bestSolVal=20689.91 t=5.874
gen=117 bestSolVal=20719.42000000001 t=5.925
gen=133 bestSolVal=20781.429999999997 t=6.729
gen=165 bestSolVal=20808.469999999994 t=8.35
gen=194 bestSolVal=21008.82999999999 t=9.827
gen=199 bestSolVal=21033.4 t=10.083
gen=226 bestSolVal=21228.800000000003 t=11.456
gen=229 bestSolVal=21267.920000000002 t=11.607
gen=245 bestSolVal=21300.339999999986 t=12.413
gen=247 bestSolVal=21421.320000000007 t=12.516
Set coverage = [58, 62, 50, 61, 62, 60, 76, 61, 54, 65, 59, 66, 64, 67, 57, 62, 55, 63, 62, 48, 64, 64, 66, 56, 57, 63, 56, 64, 59, 57, 54, 62, 66, 66, 63, 63, 55, 61, 68, 60, 60, 63, 52, 65, 66, 63, 65, 66, 58, 80, 67, 66, 57, 55, 64, 66, 58, 69, 68, 56, 65, 53, 56, 64, 61, 62, 52, 67, 58, 57, 65, 60, 58, 62, 64, 62, 62, 64, 60, 65, 56, 64, 63, 56, 68, 63, 56, 53, 79, 50, 60, 69, 66, 56, 62, 55, 73, 65, 62, 61, 65, 71, 65, 67, 58, 58, 62, 50, 65, 65, 51, 60, 64, 60, 66, 60, 71, 61, 67, 66, 61, 69, 65, 58, 65, 58, 65, 58, 61, 58, 56, 57, 56, 68, 70, 60, 62, 56, 61, 56, 61, 55, 57, 65, 60, 65, 66, 70, 58, 69, 60, 70, 54, 62, 51, 56, 65, 66, 62, 62, 55, 51, 62, 64, 67, 57, 59, 68, 72, 59, 59, 67, 67, 60, 52, 50, 67, 65, 58, 61, 64, 66, 70, 46, 52, 60, 61, 61, 62, 60, 67, 62, 60, 70, 67, 57, 62, 58, 58, 57]
maxVal = Solution: cost=[21421.320000000007], size=[123], elements=[3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 24, 25, 27, 30, 31, 32, 33, 35, 40, 41, 43, 44, 46, 48, 49, 51, 52, 53, 55, 56, 57, 58, 60, 61, 62, 64, 65, 67, 68, 70, 71, 73, 76, 78, 82, 84, 85, 86, 87, 88, 89, 91, 93, 96, 97, 99, 101, 105, 106, 108, 110, 111, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 127, 128, 130, 133, 135, 137, 138, 145, 147, 148, 151, 152, 153, 155, 157, 158, 160, 161, 162, 163, 168, 169, 172, 173, 175, 176, 177, 179, 181, 182, 183, 185, 187, 189, 191, 192, 193, 195, 196, 197, 198, 199]
Time = 12.527 seg
