Executando GA na instância instances/max_sc_qbf/exact_n200.txt com População = 100, Taxa de Mutação = 0.01 por 1000 gerações
Método de inicialização: Default
gen=0 bestSolVal=2843.22 t=0.047
gen=1 bestSolVal=3054.180000000002 t=0.21
gen=2 bestSolVal=4190.580000000004 t=0.277
gen=3 bestSolVal=4531.629999999998 t=0.328
gen=4 bestSolVal=5809.050000000001 t=0.376
gen=6 bestSolVal=5936.350000000003 t=0.477
gen=7 bestSolVal=5960.960000000004 t=0.526
gen=8 bestSolVal=6539.010000000001 t=0.574
gen=9 bestSolVal=6740.3 t=0.622
gen=10 bestSolVal=7512.83 t=0.671
gen=11 bestSolVal=8137.710000000002 t=0.719
gen=12 bestSolVal=10058.200000000003 t=0.768
gen=14 bestSolVal=10473.999999999996 t=0.864
gen=15 bestSolVal=10526.950000000003 t=0.913
gen=16 bestSolVal=10647.979999999994 t=0.961
gen=17 bestSolVal=11075.220000000001 t=1.009
gen=18 bestSolVal=13072.590000000004 t=1.066
gen=19 bestSolVal=13232.150000000007 t=1.115
gen=23 bestSolVal=13437.769999999995 t=1.314
gen=24 bestSolVal=13790.590000000004 t=1.364
gen=25 bestSolVal=13856.389999999996 t=1.414
gen=27 bestSolVal=14688.250000000002 t=1.513
gen=30 bestSolVal=15176.329999999994 t=1.661
gen=31 bestSolVal=15324.029999999995 t=1.711
gen=32 bestSolVal=15471.279999999993 t=1.761
gen=36 bestSolVal=15978.169999999993 t=1.959
gen=39 bestSolVal=16048.390000000005 t=2.109
gen=40 bestSolVal=16743.870000000003 t=2.162
gen=42 bestSolVal=16777.429999999997 t=2.26
gen=45 bestSolVal=17238.44999999999 t=2.407
gen=51 bestSolVal=17354.300000000003 t=2.702
gen=59 bestSolVal=17684.569999999996 t=3.1
gen=61 bestSolVal=17938.270000000004 t=3.201
gen=67 bestSolVal=18350.449999999997 t=3.507
gen=68 bestSolVal=18647.180000000015 t=3.56
gen=69 bestSolVal=18925.81000000001 t=3.612
gen=80 bestSolVal=19013.53000000001 t=4.174
gen=88 bestSolVal=19116.6 t=4.577
gen=93 bestSolVal=19135.940000000013 t=4.829
gen=109 bestSolVal=19187.679999999993 t=5.63
gen=120 bestSolVal=19273.599999999988 t=6.179
gen=136 bestSolVal=19288.68999999999 t=6.977
gen=160 bestSolVal=19340.009999999995 t=8.197
gen=161 bestSolVal=19435.49999999999 t=8.248
gen=175 bestSolVal=19596.600000000006 t=9.022
gen=180 bestSolVal=19813.469999999998 t=9.275
gen=205 bestSolVal=19868.699999999997 t=10.554
gen=206 bestSolVal=19870.620000000003 t=10.605
gen=207 bestSolVal=20241.929999999997 t=10.656
gen=216 bestSolVal=20250.450000000015 t=11.11
gen=217 bestSolVal=20272.599999999995 t=11.161
gen=220 bestSolVal=20310.379999999997 t=11.313
gen=239 bestSolVal=20327.439999999995 t=12.268
gen=241 bestSolVal=20403.039999999997 t=12.37
gen=242 bestSolVal=20593.139999999996 t=12.421
gen=251 bestSolVal=20608.340000000004 t=12.876
gen=289 bestSolVal=20724.9 t=14.813
gen=301 bestSolVal=20735.310000000005 t=15.432
gen=318 bestSolVal=20784.59 t=16.3
gen=329 bestSolVal=20815.649999999998 t=16.866
gen=343 bestSolVal=20831.709999999992 t=17.571
gen=363 bestSolVal=20884.46999999999 t=18.576
gen=383 bestSolVal=20922.35 t=19.589
gen=392 bestSolVal=21049.96 t=20.048
gen=423 bestSolVal=21142.369999999995 t=21.603
gen=434 bestSolVal=21238.569999999992 t=22.156
gen=583 bestSolVal=21377.54000000001 t=29.797
Set coverage = [61, 65, 59, 58, 63, 62, 81, 64, 58, 65, 60, 70, 70, 73, 56, 58, 54, 69, 63, 52, 63, 60, 67, 56, 57, 68, 53, 61, 65, 59, 56, 62, 66, 68, 67, 61, 62, 61, 71, 62, 61, 60, 53, 72, 67, 65, 65, 69, 55, 79, 65, 64, 59, 55, 68, 71, 57, 61, 65, 59, 58, 58, 59, 69, 66, 61, 60, 63, 59, 60, 69, 58, 64, 58, 68, 64, 65, 69, 64, 65, 59, 70, 63, 60, 70, 64, 60, 55, 80, 53, 65, 66, 67, 60, 64, 57, 69, 69, 64, 62, 68, 68, 65, 65, 59, 66, 58, 51, 65, 69, 54, 58, 62, 61, 58, 59, 76, 60, 68, 72, 59, 69, 65, 61, 64, 59, 62, 61, 64, 59, 56, 54, 60, 70, 69, 68, 66, 61, 61, 60, 65, 55, 59, 64, 61, 66, 68, 71, 60, 73, 59, 63, 59, 64, 53, 58, 64, 67, 69, 62, 61, 57, 63, 69, 65, 60, 61, 66, 71, 62, 61, 69, 67, 62, 58, 57, 65, 69, 60, 64, 64, 65, 70, 46, 50, 66, 66, 59, 62, 61, 72, 66, 62, 70, 67, 55, 64, 62, 62, 64]
maxVal = Solution: cost=[21377.54000000001], size=[126], elements=[3, 4, 5, 6, 7, 10, 11, 12, 13, 15, 16, 20, 21, 22, 23, 24, 25, 27, 28, 30, 31, 32, 33, 36, 39, 41, 44, 45, 48, 49, 52, 54, 55, 56, 57, 58, 60, 61, 62, 64, 65, 67, 68, 69, 70, 71, 72, 73, 75, 76, 78, 84, 85, 86, 87, 88, 91, 93, 96, 97, 99, 101, 104, 105, 106, 108, 109, 110, 111, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 127, 128, 130, 131, 132, 133, 137, 141, 145, 147, 148, 151, 152, 153, 155, 157, 158, 160, 161, 162, 163, 165, 167, 168, 169, 170, 172, 173, 174, 175, 181, 183, 185, 187, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199]
Time = 29.809 seg
