Executando GA na instância instances/max_sc_qbf/exact_n200.txt com População = 100, Taxa de Mutação = 0.01 por 1000 gerações
Método de inicialização: Default
gen=0 bestSolVal=4178.930000000001 t=0.036
gen=1 bestSolVal=4465.609999999998 t=0.091
gen=2 bestSolVal=5062.71 t=0.142
gen=3 bestSolVal=5248.359999999998 t=0.19
gen=4 bestSolVal=5327.2699999999995 t=0.238
gen=5 bestSolVal=6034.780000000002 t=0.285
gen=6 bestSolVal=6788.820000000002 t=0.333
gen=7 bestSolVal=7577.160000000002 t=0.381
gen=9 bestSolVal=8011.99 t=0.476
gen=10 bestSolVal=8524.889999999994 t=0.524
gen=12 bestSolVal=8551.689999999999 t=0.619
gen=13 bestSolVal=8997.749999999998 t=0.666
gen=14 bestSolVal=9549.689999999997 t=0.713
gen=15 bestSolVal=9702.319999999996 t=0.761
gen=16 bestSolVal=10113.799999999994 t=0.81
gen=17 bestSolVal=11537.100000000006 t=0.858
gen=20 bestSolVal=11727.609999999993 t=1.004
gen=22 bestSolVal=11879.270000000002 t=1.104
gen=23 bestSolVal=12292.300000000007 t=1.153
gen=24 bestSolVal=12479.34 t=1.203
gen=25 bestSolVal=13506.860000000002 t=1.253
gen=28 bestSolVal=13602.459999999997 t=1.403
gen=30 bestSolVal=13829.139999999992 t=1.501
gen=32 bestSolVal=13990.12 t=1.602
gen=34 bestSolVal=14061.239999999996 t=1.702
gen=36 bestSolVal=14865.339999999997 t=1.803
gen=39 bestSolVal=15100.979999999996 t=1.955
gen=42 bestSolVal=15447.140000000003 t=2.107
gen=43 bestSolVal=15494.089999999987 t=2.157
gen=46 bestSolVal=15952.36 t=2.306
gen=50 bestSolVal=16179.939999999995 t=2.507
gen=51 bestSolVal=16217.320000000012 t=2.558
gen=52 bestSolVal=16565.050000000003 t=2.609
gen=54 bestSolVal=16931.61 t=2.709
gen=60 bestSolVal=17413.12 t=3.011
gen=62 bestSolVal=17436.369999999988 t=3.111
gen=68 bestSolVal=17530.959999999985 t=3.416
gen=69 bestSolVal=17586.210000000014 t=3.466
gen=77 bestSolVal=17769.93 t=3.874
gen=78 bestSolVal=18140.030000000002 t=3.924
gen=87 bestSolVal=18165.059999999994 t=4.379
gen=88 bestSolVal=18187.900000000012 t=4.43
gen=89 bestSolVal=18736.719999999994 t=4.48
gen=92 bestSolVal=18766.149999999998 t=4.631
gen=97 bestSolVal=18819.850000000017 t=4.884
gen=98 bestSolVal=19060.869999999988 t=4.934
gen=99 bestSolVal=19177.200000000008 t=4.985
gen=109 bestSolVal=19451.640000000007 t=5.489
gen=114 bestSolVal=19561.800000000003 t=5.741
gen=126 bestSolVal=19819.790000000005 t=6.341
gen=128 bestSolVal=19941.09 t=6.44
gen=145 bestSolVal=19945.85000000001 t=7.286
gen=154 bestSolVal=20032.87000000001 t=7.742
gen=171 bestSolVal=20167.160000000007 t=8.597
gen=193 bestSolVal=20175.67 t=9.694
gen=194 bestSolVal=20306.150000000005 t=9.744
gen=203 bestSolVal=20473.350000000002 t=10.199
gen=224 bestSolVal=20562.53 t=11.271
gen=243 bestSolVal=20725.31 t=12.226
gen=259 bestSolVal=20835.140000000003 t=13.046
gen=357 bestSolVal=20867.470000000005 t=18.624
gen=360 bestSolVal=20987.400000000005 t=18.799
gen=368 bestSolVal=21237.58 t=19.256
gen=454 bestSolVal=21265.74000000001 t=23.636
gen=479 bestSolVal=21284.869999999995 t=24.914
gen=490 bestSolVal=21303.43 t=25.474
gen=491 bestSolVal=21444.510000000002 t=25.526
Set coverage = [57, 73, 58, 57, 65, 64, 77, 64, 61, 69, 58, 71, 70, 68, 59, 63, 55, 69, 67, 54, 67, 63, 64, 58, 59, 68, 54, 67, 65, 57, 56, 69, 66, 65, 63, 68, 59, 62, 77, 64, 60, 59, 55, 66, 66, 65, 64, 68, 55, 82, 68, 64, 56, 58, 66, 74, 57, 64, 63, 58, 64, 57, 61, 72, 68, 65, 60, 64, 60, 63, 65, 65, 64, 60, 71, 64, 65, 70, 62, 65, 61, 68, 69, 60, 73, 70, 61, 54, 75, 51, 67, 69, 62, 56, 65, 58, 74, 67, 61, 59, 66, 71, 68, 68, 59, 69, 58, 55, 70, 69, 58, 60, 62, 59, 67, 62, 70, 62, 69, 71, 59, 72, 67, 61, 67, 64, 65, 57, 65, 60, 60, 61, 57, 64, 66, 68, 67, 57, 61, 59, 66, 53, 57, 65, 58, 66, 74, 70, 64, 72, 57, 64, 52, 61, 56, 59, 69, 65, 68, 62, 61, 58, 65, 69, 67, 65, 59, 64, 74, 66, 58, 65, 69, 65, 55, 56, 67, 63, 60, 58, 61, 65, 66, 44, 51, 62, 63, 61, 63, 64, 65, 63, 66, 72, 72, 61, 60, 63, 64, 59]
maxVal = Solution: cost=[21444.510000000002], size=[127], elements=[3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 35, 36, 40, 41, 42, 43, 46, 48, 49, 52, 55, 56, 57, 58, 60, 61, 62, 64, 65, 67, 68, 69, 70, 71, 73, 75, 76, 78, 80, 81, 84, 85, 88, 89, 91, 93, 96, 97, 99, 101, 102, 104, 105, 106, 108, 110, 111, 113, 114, 115, 116, 118, 120, 121, 122, 123, 124, 125, 126, 130, 131, 132, 137, 138, 141, 145, 147, 148, 151, 152, 153, 157, 158, 160, 161, 162, 163, 165, 166, 168, 169, 172, 173, 175, 176, 177, 181, 182, 183, 185, 187, 190, 191, 192, 193, 194, 195, 196, 197, 199]
Time = 25.538 seg
