Executando GA na instância instances/max_sc_qbf/exact_n200.txt com População = 100, Taxa de Mutação = 0.01 por 1000 gerações
Método de inicialização: Default
gen=0 bestSolVal=2894.8999999999987 t=0.036
gen=1 bestSolVal=3584.439999999998 t=0.091
gen=2 bestSolVal=4655.159999999999 t=0.141
gen=3 bestSolVal=4984.369999999994 t=0.189
gen=4 bestSolVal=5856.460000000002 t=0.236
gen=5 bestSolVal=6163.229999999999 t=0.283
gen=6 bestSolVal=6354.01 t=0.33
gen=7 bestSolVal=6450.890000000002 t=0.378
gen=8 bestSolVal=8019.719999999998 t=0.424
gen=9 bestSolVal=8119.670000000003 t=0.47
gen=10 bestSolVal=8952.37 t=0.516
gen=14 bestSolVal=9469.260000000006 t=0.701
gen=15 bestSolVal=9524.670000000004 t=0.747
gen=16 bestSolVal=10832.750000000002 t=0.793
gen=19 bestSolVal=11145.63 t=0.932
gen=21 bestSolVal=12975.870000000003 t=1.025
gen=30 bestSolVal=13134.250000000002 t=1.44
gen=31 bestSolVal=13195.279999999997 t=1.486
gen=32 bestSolVal=13740.290000000005 t=1.532
gen=33 bestSolVal=14187.610000000002 t=1.579
gen=34 bestSolVal=14413.050000000001 t=1.625
gen=35 bestSolVal=14416.59000000001 t=1.672
gen=38 bestSolVal=14530.979999999992 t=1.815
gen=39 bestSolVal=15027.889999999998 t=1.863
gen=40 bestSolVal=15383.780000000004 t=1.911
gen=44 bestSolVal=15912.430000000006 t=2.103
gen=45 bestSolVal=15992.940000000008 t=2.151
gen=47 bestSolVal=16772.57 t=2.246
gen=51 bestSolVal=16796.640000000003 t=2.438
gen=53 bestSolVal=16832.140000000003 t=2.534
gen=57 bestSolVal=16991.159999999996 t=2.727
gen=58 bestSolVal=17122.649999999998 t=2.775
gen=59 bestSolVal=17596.43 t=2.823
gen=61 bestSolVal=17668.270000000004 t=2.92
gen=62 bestSolVal=17841.970000000005 t=2.969
gen=64 bestSolVal=18161.36 t=3.067
gen=69 bestSolVal=18431.370000000003 t=3.326
gen=81 bestSolVal=18510.999999999996 t=3.907
gen=85 bestSolVal=18599.30999999999 t=4.1
gen=86 bestSolVal=18702.67999999999 t=4.148
gen=87 bestSolVal=18713.780000000002 t=4.196
gen=105 bestSolVal=18797.15 t=5.069
gen=106 bestSolVal=18843.30000000001 t=5.119
gen=108 bestSolVal=18937.290000000005 t=5.216
gen=109 bestSolVal=18969.390000000003 t=5.265
gen=113 bestSolVal=19034.41 t=5.458
gen=114 bestSolVal=19362.430000000004 t=5.506
gen=118 bestSolVal=19364.660000000007 t=5.702
gen=119 bestSolVal=19566.580000000005 t=5.751
gen=126 bestSolVal=19663.42000000001 t=6.09
gen=135 bestSolVal=19709.84 t=6.532
gen=146 bestSolVal=19753.159999999996 t=7.073
gen=155 bestSolVal=19853.520000000008 t=7.519
gen=171 bestSolVal=19853.85999999999 t=8.324
gen=177 bestSolVal=19920.260000000013 t=8.632
gen=178 bestSolVal=20225.030000000002 t=8.684
gen=180 bestSolVal=20408.76999999999 t=8.786
gen=238 bestSolVal=20511.35999999999 t=11.751
gen=262 bestSolVal=20577.15999999999 t=12.969
gen=268 bestSolVal=20746.519999999997 t=13.276
gen=280 bestSolVal=20763.61999999998 t=13.892
gen=286 bestSolVal=20862.859999999997 t=14.201
gen=290 bestSolVal=21021.55 t=14.407
gen=297 bestSolVal=21078.32 t=14.769
gen=351 bestSolVal=21315.05 t=17.557
Set coverage = [53, 68, 54, 61, 67, 61, 81, 64, 63, 66, 62, 73, 68, 71, 58, 63, 53, 69, 66, 53, 63, 61, 68, 58, 60, 70, 53, 64, 64, 57, 58, 65, 67, 69, 63, 63, 59, 66, 77, 67, 63, 61, 53, 68, 71, 64, 69, 70, 58, 84, 67, 64, 60, 59, 65, 71, 58, 64, 65, 58, 64, 56, 61, 68, 66, 60, 59, 64, 58, 61, 65, 64, 62, 62, 71, 61, 66, 68, 66, 66, 61, 65, 71, 56, 69, 64, 60, 58, 81, 57, 68, 69, 66, 59, 63, 56, 78, 64, 64, 61, 65, 71, 69, 68, 56, 64, 61, 54, 67, 70, 59, 66, 69, 66, 68, 59, 73, 63, 67, 66, 59, 75, 68, 62, 65, 66, 61, 59, 63, 58, 58, 59, 54, 68, 72, 67, 66, 60, 64, 59, 65, 57, 57, 65, 64, 71, 70, 73, 62, 77, 62, 65, 56, 64, 54, 59, 68, 70, 69, 63, 60, 54, 65, 73, 70, 62, 65, 70, 77, 68, 59, 70, 67, 62, 56, 54, 65, 67, 60, 63, 67, 69, 70, 47, 52, 63, 63, 65, 62, 62, 69, 66, 65, 73, 71, 64, 57, 56, 61, 60]
maxVal = Solution: cost=[21315.05], size=[128], elements=[3, 5, 6, 7, 9, 10, 11, 12, 13, 16, 19, 20, 21, 22, 23, 24, 25, 27, 30, 31, 32, 33, 35, 36, 37, 40, 41, 42, 43, 44, 45, 49, 50, 51, 52, 53, 55, 56, 57, 58, 59, 61, 62, 64, 65, 66, 67, 68, 70, 71, 73, 76, 78, 79, 81, 82, 83, 84, 85, 88, 89, 93, 96, 97, 99, 101, 102, 104, 105, 106, 107, 108, 110, 111, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 128, 130, 132, 133, 137, 138, 145, 147, 148, 151, 152, 153, 155, 157, 158, 160, 161, 162, 163, 165, 168, 169, 172, 173, 175, 176, 177, 179, 181, 182, 183, 185, 187, 191, 192, 193, 194, 195, 196, 197, 198, 199]
Time = 17.57 seg
