Executando GA na instância instances/max_sc_qbf/exact_n200.txt com População = 100, Taxa de Mutação = 0.01 por 1000 gerações
Método de inicialização: Default
gen=0 bestSolVal=2929.12 t=0.035
gen=1 bestSolVal=3973.690000000002 t=0.091
gen=3 bestSolVal=4792.71 t=0.188
gen=4 bestSolVal=5943.840000000006 t=0.235
gen=5 bestSolVal=6969.829999999994 t=0.283
gen=6 bestSolVal=8167.3999999999905 t=0.332
gen=10 bestSolVal=9007.220000000008 t=0.528
gen=12 bestSolVal=9322.010000000002 t=0.627
gen=13 bestSolVal=10374.830000000004 t=0.677
gen=14 bestSolVal=10502.210000000001 t=0.727
gen=15 bestSolVal=10722.239999999998 t=0.776
gen=17 bestSolVal=10724.710000000005 t=0.875
gen=19 bestSolVal=10773.140000000005 t=0.973
gen=20 bestSolVal=11265.709999999994 t=1.022
gen=21 bestSolVal=11700.919999999996 t=1.071
gen=23 bestSolVal=11903.539999999995 t=1.168
gen=24 bestSolVal=12376.999999999996 t=1.218
gen=25 bestSolVal=12616.390000000003 t=1.267
gen=26 bestSolVal=12641.430000000002 t=1.315
gen=27 bestSolVal=12678.879999999997 t=1.364
gen=28 bestSolVal=12899.769999999999 t=1.413
gen=29 bestSolVal=13063.690000000004 t=1.461
gen=30 bestSolVal=13975.660000000002 t=1.511
gen=34 bestSolVal=14128.530000000002 t=1.706
gen=35 bestSolVal=14485.520000000004 t=1.754
gen=36 bestSolVal=14923.19 t=1.803
gen=41 bestSolVal=14999.08 t=2.052
gen=42 bestSolVal=15157.000000000002 t=2.101
gen=45 bestSolVal=15329.569999999998 t=2.249
gen=46 bestSolVal=15690.960000000005 t=2.298
gen=51 bestSolVal=15707.210000000001 t=2.545
gen=52 bestSolVal=15790.459999999997 t=2.594
gen=53 bestSolVal=15952.110000000006 t=2.644
gen=55 bestSolVal=15996.36 t=2.744
gen=56 bestSolVal=16096.490000000002 t=2.794
gen=57 bestSolVal=16252.190000000011 t=2.844
gen=58 bestSolVal=16612.889999999996 t=2.894
gen=61 bestSolVal=16620.819999999996 t=3.041
gen=62 bestSolVal=17142.30000000001 t=3.091
gen=69 bestSolVal=17168.27 t=3.441
gen=70 bestSolVal=17649.459999999992 t=3.491
gen=74 bestSolVal=17676.700000000004 t=3.692
gen=75 bestSolVal=17678.85 t=3.742
gen=76 bestSolVal=17860.120000000017 t=3.792
gen=77 bestSolVal=17885.079999999994 t=3.843
gen=80 bestSolVal=18175.880000000005 t=3.997
gen=81 bestSolVal=18445.730000000007 t=4.048
gen=85 bestSolVal=18552.84000000001 t=4.251
gen=89 bestSolVal=18680.870000000006 t=4.454
gen=90 bestSolVal=18854.67000000001 t=4.504
gen=91 bestSolVal=19068.040000000005 t=4.554
gen=97 bestSolVal=19147.670000000006 t=4.853
gen=113 bestSolVal=19408.409999999985 t=5.659
gen=123 bestSolVal=19769.740000000016 t=6.155
gen=124 bestSolVal=19789.360000000015 t=6.206
gen=127 bestSolVal=19912.75 t=6.36
gen=137 bestSolVal=20089.740000000005 t=6.856
gen=141 bestSolVal=20201.470000000005 t=7.053
gen=142 bestSolVal=20272.49000000001 t=7.102
gen=143 bestSolVal=20948.810000000005 t=7.152
gen=158 bestSolVal=20952.010000000002 t=7.896
gen=163 bestSolVal=21051.069999999985 t=8.149
gen=187 bestSolVal=21060.11 t=9.352
gen=240 bestSolVal=21206.369999999995 t=12.023
gen=314 bestSolVal=21236.329999999994 t=15.743
gen=317 bestSolVal=21261.739999999998 t=15.893
gen=322 bestSolVal=21336.769999999986 t=16.144
Set coverage = [53, 67, 59, 58, 64, 63, 83, 61, 59, 62, 57, 70, 67, 74, 53, 61, 54, 69, 64, 50, 58, 61, 61, 56, 59, 67, 56, 62, 60, 59, 55, 62, 63, 65, 64, 61, 59, 63, 71, 62, 62, 56, 51, 69, 64, 60, 62, 64, 57, 81, 60, 63, 53, 60, 64, 67, 54, 59, 61, 59, 59, 57, 64, 68, 64, 61, 60, 61, 58, 60, 65, 62, 62, 59, 67, 57, 65, 65, 65, 65, 58, 68, 69, 59, 64, 61, 59, 56, 76, 50, 67, 65, 59, 57, 63, 55, 67, 60, 63, 62, 62, 67, 64, 65, 54, 61, 58, 51, 67, 70, 53, 57, 66, 63, 63, 59, 70, 61, 63, 67, 57, 69, 69, 56, 64, 64, 60, 58, 64, 58, 57, 58, 53, 64, 67, 66, 63, 57, 56, 61, 61, 55, 53, 61, 61, 68, 70, 69, 60, 74, 58, 59, 51, 65, 54, 56, 63, 64, 67, 62, 63, 56, 63, 68, 66, 60, 60, 66, 68, 63, 59, 66, 63, 60, 53, 55, 62, 67, 57, 55, 62, 66, 65, 45, 48, 59, 59, 61, 59, 56, 65, 65, 58, 69, 65, 55, 54, 58, 66, 62]
maxVal = Solution: cost=[21336.769999999986], size=[123], elements=[3, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 19, 20, 21, 22, 23, 24, 25, 27, 28, 30, 31, 32, 36, 38, 40, 41, 42, 43, 44, 49, 50, 51, 52, 53, 54, 55, 56, 58, 59, 61, 62, 64, 65, 67, 68, 70, 71, 72, 73, 75, 76, 78, 79, 82, 84, 88, 93, 95, 96, 97, 99, 101, 102, 104, 105, 106, 107, 108, 109, 110, 111, 114, 115, 116, 118, 119, 120, 121, 122, 123, 124, 125, 128, 130, 131, 132, 133, 137, 138, 141, 144, 145, 147, 148, 151, 153, 155, 157, 160, 161, 162, 163, 165, 168, 172, 173, 175, 176, 177, 181, 183, 185, 187, 190, 191, 192, 193, 194, 195, 196, 197, 199]
Time = 16.156 seg
