Executando GA na instância instances/max_sc_qbf/exact_n200.txt com População = 100, Taxa de Mutação = 0.01 por 1000 gerações
Método de inicialização: Default
gen=0 bestSolVal=4205.9 t=0.035
gen=2 bestSolVal=4595.460000000001 t=0.137
gen=3 bestSolVal=5183.229999999997 t=0.188
gen=4 bestSolVal=5474.539999999997 t=0.235
gen=5 bestSolVal=6204.459999999998 t=0.282
gen=6 bestSolVal=7274.580000000002 t=0.33
gen=7 bestSolVal=7314.130000000004 t=0.378
gen=8 bestSolVal=8199.320000000002 t=0.424
gen=9 bestSolVal=8681.750000000005 t=0.471
gen=10 bestSolVal=8921.08 t=0.517
gen=11 bestSolVal=9377.859999999997 t=0.564
gen=12 bestSolVal=9791.510000000004 t=0.61
gen=13 bestSolVal=10062.390000000003 t=0.656
gen=14 bestSolVal=10130.279999999997 t=0.703
gen=15 bestSolVal=10849.419999999996 t=0.749
gen=17 bestSolVal=11240.869999999999 t=0.841
gen=18 bestSolVal=11467.199999999999 t=0.887
gen=19 bestSolVal=11596.250000000007 t=0.933
gen=20 bestSolVal=11936.340000000002 t=0.979
gen=21 bestSolVal=13529.37 t=1.025
gen=24 bestSolVal=13708.62 t=1.164
gen=26 bestSolVal=14004.110000000004 t=1.256
gen=27 bestSolVal=14271.679999999998 t=1.303
gen=30 bestSolVal=14536.980000000005 t=1.443
gen=31 bestSolVal=15094.930000000004 t=1.49
gen=36 bestSolVal=15162.600000000006 t=1.732
gen=37 bestSolVal=15293.319999999992 t=1.78
gen=38 bestSolVal=15315.350000000008 t=1.828
gen=41 bestSolVal=15978.310000000003 t=1.972
gen=42 bestSolVal=16236.14 t=2.021
gen=47 bestSolVal=16557.000000000004 t=2.264
gen=48 bestSolVal=16608.519999999993 t=2.312
gen=50 bestSolVal=16806.470000000005 t=2.411
gen=53 bestSolVal=17136.27 t=2.56
gen=55 bestSolVal=17406.56 t=2.658
gen=56 bestSolVal=17561.739999999987 t=2.708
gen=58 bestSolVal=17588.830000000005 t=2.808
gen=61 bestSolVal=17781.56999999999 t=2.959
gen=64 bestSolVal=17941.250000000007 t=3.108
gen=68 bestSolVal=18009.339999999997 t=3.309
gen=69 bestSolVal=18061.44 t=3.36
gen=70 bestSolVal=18182.54999999999 t=3.41
gen=72 bestSolVal=18646.330000000005 t=3.512
gen=74 bestSolVal=18721.71 t=3.613
gen=75 bestSolVal=18800.460000000003 t=3.663
gen=76 bestSolVal=18933.9 t=3.714
gen=83 bestSolVal=18969.790000000005 t=4.065
gen=84 bestSolVal=19407.129999999983 t=4.116
gen=99 bestSolVal=19441.870000000003 t=4.865
gen=100 bestSolVal=19478.039999999986 t=4.915
gen=102 bestSolVal=19691.77000000001 t=5.014
gen=112 bestSolVal=19861.690000000002 t=5.523
gen=118 bestSolVal=19935.380000000005 t=5.841
gen=132 bestSolVal=20048.98 t=6.557
gen=146 bestSolVal=20103.109999999993 t=7.26
gen=152 bestSolVal=20266.56 t=7.561
gen=153 bestSolVal=20267.72999999999 t=7.611
gen=155 bestSolVal=20308.87999999999 t=7.712
gen=157 bestSolVal=20326.139999999985 t=7.813
gen=159 bestSolVal=20330.999999999985 t=7.913
gen=161 bestSolVal=20407.930000000004 t=8.013
gen=177 bestSolVal=20521.85999999999 t=8.824
gen=193 bestSolVal=20648.68 t=9.64
gen=203 bestSolVal=20755.83 t=10.148
gen=263 bestSolVal=20797.980000000007 t=13.197
gen=348 bestSolVal=20814.419999999995 t=17.513
gen=384 bestSolVal=20893.679999999997 t=19.36
gen=397 bestSolVal=20961.79000000001 t=20.022
gen=569 bestSolVal=21039.119999999995 t=28.919
gen=597 bestSolVal=21149.369999999995 t=30.373
gen=639 bestSolVal=21186.18 t=32.582
gen=652 bestSolVal=21305.770000000004 t=33.258
gen=697 bestSolVal=21374.959999999995 t=35.584
gen=780 bestSolVal=21384.84 t=39.889
gen=880 bestSolVal=21441.82 t=45.116
gen=903 bestSolVal=21532.11 t=46.313
gen=937 bestSolVal=21552.969999999994 t=48.09
gen=959 bestSolVal=21588.659999999993 t=49.244
gen=1064 bestSolVal=21608.31999999999 t=54.745
gen=1125 bestSolVal=21648.850000000006 t=57.939
gen=1254 bestSolVal=21732.499999999996 t=64.731
gen=1337 bestSolVal=21881.299999999996 t=69.066
gen=1343 bestSolVal=21897.890000000007 t=69.381
gen=2074 bestSolVal=22007.670000000006 t=107.872
gen=3440 bestSolVal=22011.230000000003 t=179.612
gen=6677 bestSolVal=22023.239999999998 t=350.344
gen=6878 bestSolVal=22092.300000000003 t=360.898
gen=7105 bestSolVal=22116.150000000012 t=372.767
gen=7372 bestSolVal=22144.229999999992 t=386.778
Set coverage = [63, 70, 62, 62, 67, 69, 84, 68, 62, 67, 59, 75, 73, 74, 61, 67, 57, 73, 67, 56, 63, 64, 65, 55, 60, 69, 56, 67, 66, 59, 59, 68, 71, 69, 63, 67, 65, 68, 80, 66, 62, 59, 55, 70, 71, 66, 67, 69, 56, 84, 67, 68, 57, 63, 67, 74, 58, 65, 61, 63, 65, 63, 63, 70, 67, 62, 62, 68, 62, 64, 67, 63, 67, 65, 70, 66, 70, 68, 63, 65, 61, 70, 71, 60, 72, 72, 62, 57, 83, 57, 69, 73, 66, 63, 71, 57, 78, 72, 65, 62, 67, 70, 67, 69, 59, 69, 58, 54, 75, 70, 60, 61, 67, 64, 65, 61, 75, 64, 70, 72, 61, 75, 70, 65, 68, 64, 63, 57, 66, 59, 60, 58, 58, 71, 73, 74, 65, 68, 63, 63, 64, 57, 56, 69, 66, 69, 67, 71, 64, 77, 62, 58, 58, 63, 59, 61, 65, 69, 72, 67, 62, 60, 64, 75, 68, 66, 65, 69, 71, 69, 59, 70, 67, 63, 57, 60, 65, 68, 63, 60, 62, 68, 71, 48, 52, 68, 68, 62, 67, 65, 66, 66, 68, 73, 77, 64, 61, 61, 69, 62]
