Executando GA na instância instances/max_sc_qbf/exact_n200.txt com População = 100, Taxa de Mutação = 0.01 por 1000 gerações
Método de inicialização: Default
gen=0 bestSolVal=3603.9600000000005 t=0.036
gen=1 bestSolVal=3779.05 t=0.092
gen=2 bestSolVal=4595.480000000003 t=0.142
gen=3 bestSolVal=4840.750000000003 t=0.191
gen=4 bestSolVal=5866.379999999998 t=0.238
gen=5 bestSolVal=6200.159999999998 t=0.285
gen=6 bestSolVal=6327.740000000002 t=0.333
gen=7 bestSolVal=7164.910000000004 t=0.382
gen=8 bestSolVal=9249.130000000005 t=0.431
gen=10 bestSolVal=9282.330000000007 t=0.526
gen=12 bestSolVal=9359.349999999997 t=0.622
gen=13 bestSolVal=10047.450000000003 t=0.669
gen=14 bestSolVal=10792.389999999996 t=0.717
gen=17 bestSolVal=10975.340000000002 t=0.861
gen=18 bestSolVal=11308.210000000001 t=0.909
gen=19 bestSolVal=11939.380000000006 t=0.957
gen=20 bestSolVal=11998.370000000003 t=1.005
gen=21 bestSolVal=12421.720000000005 t=1.054
gen=23 bestSolVal=12763.060000000003 t=1.152
gen=25 bestSolVal=12844.7 t=1.249
gen=26 bestSolVal=13355.909999999994 t=1.297
gen=27 bestSolVal=13945.57 t=1.346
gen=28 bestSolVal=14349.64 t=1.395
gen=29 bestSolVal=14696.379999999996 t=1.444
gen=30 bestSolVal=15175.23 t=1.494
gen=31 bestSolVal=15235.25 t=1.545
gen=35 bestSolVal=15296.430000000004 t=1.747
gen=36 bestSolVal=15310.130000000005 t=1.797
gen=39 bestSolVal=15752.250000000004 t=1.95
gen=41 bestSolVal=16061.779999999993 t=2.054
gen=44 bestSolVal=16087.78 t=2.206
gen=46 bestSolVal=16194.42 t=2.308
gen=48 bestSolVal=16319.82 t=2.41
gen=49 bestSolVal=16511.100000000002 t=2.462
gen=51 bestSolVal=16579.539999999986 t=2.577
gen=52 bestSolVal=16896.390000000003 t=2.628
gen=53 bestSolVal=16905.840000000004 t=2.679
gen=56 bestSolVal=17047.690000000002 t=2.832
gen=59 bestSolVal=17056.010000000002 t=2.985
gen=61 bestSolVal=17056.600000000006 t=3.086
gen=62 bestSolVal=17199.32999999999 t=3.137
gen=63 bestSolVal=17199.55 t=3.188
gen=64 bestSolVal=17222.869999999988 t=3.238
gen=65 bestSolVal=17249.230000000014 t=3.288
gen=66 bestSolVal=17346.199999999997 t=3.339
gen=68 bestSolVal=17571.66000000001 t=3.44
gen=70 bestSolVal=17586.03999999999 t=3.541
gen=72 bestSolVal=17969.630000000005 t=3.642
gen=76 bestSolVal=18001.110000000008 t=3.846
gen=79 bestSolVal=18228.10000000001 t=4.01
gen=82 bestSolVal=18296.870000000006 t=4.163
gen=86 bestSolVal=18389.160000000003 t=4.368
gen=88 bestSolVal=18625.07000000001 t=4.469
gen=104 bestSolVal=18723.48 t=5.279
gen=106 bestSolVal=18900.360000000004 t=5.379
gen=117 bestSolVal=19070.00000000002 t=5.935
gen=127 bestSolVal=19165.60000000002 t=6.446
gen=133 bestSolVal=19219.16 t=6.756
gen=135 bestSolVal=19219.800000000007 t=6.858
gen=143 bestSolVal=19362.630000000005 t=7.267
gen=159 bestSolVal=19662.179999999997 t=8.086
gen=160 bestSolVal=19823.769999999993 t=8.138
gen=166 bestSolVal=20051.269999999997 t=8.447
gen=168 bestSolVal=20145.639999999996 t=8.549
gen=169 bestSolVal=20249.370000000003 t=8.6
gen=210 bestSolVal=20312.480000000003 t=10.732
gen=225 bestSolVal=20319.910000000003 t=11.504
gen=227 bestSolVal=20557.149999999998 t=11.607
gen=240 bestSolVal=20616.719999999987 t=12.269
gen=242 bestSolVal=20637.90999999998 t=12.37
gen=316 bestSolVal=20731.970000000005 t=16.255
gen=321 bestSolVal=20799.899999999987 t=16.515
gen=332 bestSolVal=20988.619999999988 t=17.086
gen=346 bestSolVal=21024.920000000006 t=17.814
gen=368 bestSolVal=21033.230000000003 t=18.972
gen=391 bestSolVal=21109.880000000005 t=20.181
gen=479 bestSolVal=21121.179999999997 t=24.731
gen=525 bestSolVal=21221.559999999998 t=27.101
gen=532 bestSolVal=21272.189999999988 t=27.461
gen=554 bestSolVal=21327.489999999998 t=28.601
gen=695 bestSolVal=21376.20999999999 t=37.254
gen=746 bestSolVal=21611.659999999993 t=40.019
gen=854 bestSolVal=21789.02999999999 t=45.801
gen=945 bestSolVal=21837.4 t=50.519
gen=1278 bestSolVal=21858.06 t=67.95
gen=2414 bestSolVal=21907.87 t=128.442
gen=2560 bestSolVal=21924.569999999992 t=136.097
gen=3127 bestSolVal=21943.92 t=166.96
gen=3397 bestSolVal=21960.3 t=181.133
gen=3800 bestSolVal=21983.039999999997 t=202.16
gen=4023 bestSolVal=21986.069999999996 t=215.009
gen=4635 bestSolVal=21988.079999999998 t=246.867
gen=5350 bestSolVal=21999.649999999998 t=284.797
gen=5753 bestSolVal=22020.639999999996 t=305.562
gen=6085 bestSolVal=22041.179999999993 t=322.736
gen=6196 bestSolVal=22058.199999999997 t=328.487
gen=6488 bestSolVal=22058.319999999996 t=345.338
gen=6658 bestSolVal=22098.48999999999 t=354.225
gen=6700 bestSolVal=22111.999999999993 t=356.433
gen=7063 bestSolVal=22142.879999999997 t=375.247
