Executando GA na instância instances/max_sc_qbf/exact_n200.txt com População = 100, Taxa de Mutação = 0.01 por 1000 gerações
Método de inicialização: Default
gen=0 bestSolVal=3551.339999999999 t=0.036
gen=1 bestSolVal=4182.409999999999 t=0.094
gen=2 bestSolVal=5683.530000000001 t=0.147
gen=4 bestSolVal=5743.309999999997 t=0.247
gen=5 bestSolVal=5940.200000000002 t=0.297
gen=6 bestSolVal=7288.550000000001 t=0.347
gen=7 bestSolVal=7645.919999999999 t=0.398
gen=11 bestSolVal=9099.490000000003 t=0.602
gen=13 bestSolVal=9131.47 t=0.709
gen=14 bestSolVal=9425.390000000001 t=0.762
gen=15 bestSolVal=10096.609999999999 t=0.814
gen=16 bestSolVal=10695.320000000002 t=0.867
gen=17 bestSolVal=11555.05 t=0.919
gen=18 bestSolVal=11931.289999999995 t=0.972
gen=22 bestSolVal=12689.999999999998 t=1.188
gen=23 bestSolVal=12821.77 t=1.239
gen=25 bestSolVal=13249.85000000001 t=1.342
gen=26 bestSolVal=13622.79 t=1.394
gen=28 bestSolVal=13856.440000000008 t=1.497
gen=29 bestSolVal=13904.170000000002 t=1.548
gen=30 bestSolVal=14367.509999999993 t=1.598
gen=32 bestSolVal=14928.759999999995 t=1.7
gen=33 bestSolVal=15246.930000000002 t=1.75
gen=34 bestSolVal=15269.460000000005 t=1.801
gen=35 bestSolVal=15670.580000000002 t=1.853
gen=39 bestSolVal=15733.699999999993 t=2.058
gen=40 bestSolVal=16173.850000000006 t=2.109
gen=41 bestSolVal=16679.359999999997 t=2.161
gen=45 bestSolVal=17571.530000000002 t=2.369
gen=51 bestSolVal=17844.2 t=2.681
gen=54 bestSolVal=18252.810000000005 t=2.838
gen=55 bestSolVal=18329.940000000006 t=2.89
gen=56 bestSolVal=18558.36 t=2.942
gen=59 bestSolVal=18683.92 t=3.1
gen=66 bestSolVal=18758.359999999975 t=3.474
gen=72 bestSolVal=18887.479999999996 t=3.794
gen=74 bestSolVal=19615.01999999999 t=3.9
gen=82 bestSolVal=19788.60999999999 t=4.322
gen=93 bestSolVal=19993.960000000006 t=4.926
gen=94 bestSolVal=20199.93000000001 t=4.981
gen=98 bestSolVal=20352.470000000005 t=5.194
gen=116 bestSolVal=20689.91 t=6.151
gen=117 bestSolVal=20719.42000000001 t=6.204
gen=133 bestSolVal=20781.429999999997 t=7.056
gen=165 bestSolVal=20808.469999999994 t=8.727
gen=194 bestSolVal=21008.82999999999 t=10.254
gen=199 bestSolVal=21033.4 t=10.517
gen=226 bestSolVal=21228.800000000003 t=11.957
gen=229 bestSolVal=21267.920000000002 t=12.114
gen=245 bestSolVal=21300.339999999986 t=12.951
gen=247 bestSolVal=21421.320000000007 t=13.057
gen=264 bestSolVal=21458.420000000002 t=13.965
gen=317 bestSolVal=21515.759999999987 t=16.853
gen=376 bestSolVal=21609.649999999998 t=20.033
gen=436 bestSolVal=21802.05999999999 t=23.217
gen=585 bestSolVal=21803.239999999998 t=31.243
gen=805 bestSolVal=21856.279999999995 t=43.092
gen=891 bestSolVal=21878.949999999993 t=47.73
gen=905 bestSolVal=21932.729999999992 t=48.473
