Executando GA na instância instances/max_sc_qbf/exact_n200.txt com População = 100, Taxa de Mutação = 0.01 por 1000 gerações
Método de inicialização: Default
gen=0 bestSolVal=3873.210000000002 t=0.035
gen=3 bestSolVal=4799.19 t=0.184
gen=4 bestSolVal=5558.380000000001 t=0.233
gen=5 bestSolVal=7391.4 t=0.279
gen=7 bestSolVal=7474.510000000003 t=0.372
gen=9 bestSolVal=7483.329999999999 t=0.463
gen=10 bestSolVal=8050.189999999997 t=0.509
gen=12 bestSolVal=8905.899999999996 t=0.601
gen=13 bestSolVal=9186.479999999994 t=0.646
gen=14 bestSolVal=10003.600000000002 t=0.692
gen=15 bestSolVal=10391.91 t=0.738
gen=17 bestSolVal=10773.630000000001 t=0.829
gen=18 bestSolVal=11076.730000000007 t=0.874
gen=19 bestSolVal=11587.450000000008 t=0.92
gen=20 bestSolVal=12094.730000000001 t=0.965
gen=21 bestSolVal=12115.750000000004 t=1.01
gen=22 bestSolVal=12118.930000000008 t=1.056
gen=24 bestSolVal=12250.720000000001 t=1.146
gen=25 bestSolVal=12682.829999999994 t=1.191
gen=26 bestSolVal=13042.07 t=1.236
gen=28 bestSolVal=13491.459999999997 t=1.327
gen=29 bestSolVal=13511.579999999996 t=1.373
gen=30 bestSolVal=13648.960000000003 t=1.419
gen=31 bestSolVal=14756.26 t=1.466
gen=37 bestSolVal=15042.269999999993 t=1.748
gen=39 bestSolVal=15137.190000000002 t=1.845
gen=40 bestSolVal=15453.859999999997 t=1.893
gen=41 bestSolVal=15768.259999999997 t=1.942
gen=42 bestSolVal=15788.679999999998 t=1.99
gen=45 bestSolVal=16240.92 t=2.135
gen=46 bestSolVal=16513.56 t=2.183
gen=47 bestSolVal=16586.100000000006 t=2.231
gen=48 bestSolVal=16599.280000000006 t=2.279
gen=53 bestSolVal=16672.06 t=2.523
gen=54 bestSolVal=17079.660000000003 t=2.572
gen=55 bestSolVal=17260.499999999996 t=2.622
gen=58 bestSolVal=17402.019999999997 t=2.772
gen=64 bestSolVal=17605.7 t=3.074
gen=65 bestSolVal=17735.530000000006 t=3.123
gen=66 bestSolVal=17916.080000000005 t=3.173
gen=67 bestSolVal=17942.570000000007 t=3.223
gen=73 bestSolVal=18036.820000000018 t=3.521
gen=75 bestSolVal=18226.570000000018 t=3.62
gen=82 bestSolVal=18718.51 t=3.967
gen=87 bestSolVal=18736.97000000001 t=4.218
gen=91 bestSolVal=18854.479999999996 t=4.417
gen=95 bestSolVal=19015.900000000016 t=4.617
gen=97 bestSolVal=19172.920000000016 t=4.717
gen=101 bestSolVal=19490.350000000006 t=4.916
gen=113 bestSolVal=19541.260000000002 t=5.526
gen=114 bestSolVal=19626.690000000002 t=5.578
gen=143 bestSolVal=19744.370000000003 t=7.027
gen=145 bestSolVal=19770.850000000002 t=7.127
gen=146 bestSolVal=19895.049999999996 t=7.177
gen=159 bestSolVal=19978.070000000014 t=7.829
gen=165 bestSolVal=20083.980000000007 t=8.13
gen=171 bestSolVal=20169.590000000007 t=8.43
gen=183 bestSolVal=20254.500000000007 t=9.042
gen=186 bestSolVal=20343.240000000013 t=9.194
gen=195 bestSolVal=20396.360000000004 t=9.643
gen=196 bestSolVal=20445.140000000003 t=9.693
gen=202 bestSolVal=20504.150000000005 t=9.995
gen=203 bestSolVal=20534.650000000023 t=10.045
gen=236 bestSolVal=20670.62000000001 t=11.697
gen=248 bestSolVal=20820.78000000001 t=12.299
gen=306 bestSolVal=20841.61 t=15.226
gen=317 bestSolVal=21011.009999999987 t=15.781
gen=321 bestSolVal=21181.069999999985 t=15.981
gen=376 bestSolVal=21241.00999999999 t=19.088
gen=437 bestSolVal=21347.550000000007 t=22.62
gen=455 bestSolVal=21359.730000000007 t=23.517
gen=518 bestSolVal=21467.190000000006 t=26.642
gen=542 bestSolVal=21700.300000000007 t=27.817
gen=546 bestSolVal=21702.690000000006 t=28.013
gen=548 bestSolVal=21724.63000000001 t=28.111
gen=633 bestSolVal=21785.64000000001 t=32.396
gen=719 bestSolVal=21806.820000000007 t=36.686
gen=944 bestSolVal=21850.170000000006 t=47.87
gen=1079 bestSolVal=21870.67000000001 t=54.702
