Executando GA na instância instances/max_sc_qbf/exact_n200.txt com População = 100, Taxa de Mutação = 0.01 por 1000 gerações
Método de inicialização: Default
gen=0 bestSolVal=3011.569999999999 t=0.041
gen=1 bestSolVal=3836.6200000000013 t=0.1
gen=2 bestSolVal=5396.52 t=0.156
gen=4 bestSolVal=5453.670000000005 t=0.26
gen=5 bestSolVal=6531.899999999998 t=0.311
gen=7 bestSolVal=6948.450000000002 t=0.415
gen=8 bestSolVal=7027.64 t=0.466
gen=9 bestSolVal=8092.199999999994 t=0.518
gen=10 bestSolVal=8771.82 t=0.569
gen=12 bestSolVal=9544.070000000005 t=0.671
gen=14 bestSolVal=10160.920000000004 t=0.777
gen=15 bestSolVal=10662.020000000002 t=0.83
gen=16 bestSolVal=11611.4 t=0.883
gen=19 bestSolVal=11702.569999999998 t=1.038
gen=20 bestSolVal=12027.769999999997 t=1.09
gen=21 bestSolVal=12277.56 t=1.142
gen=24 bestSolVal=12424.059999999992 t=1.297
gen=25 bestSolVal=12854.82 t=1.348
gen=26 bestSolVal=13235.170000000002 t=1.399
gen=27 bestSolVal=13585.58 t=1.451
gen=28 bestSolVal=13685.970000000005 t=1.502
gen=29 bestSolVal=14067.360000000002 t=1.553
gen=30 bestSolVal=14076.51000000001 t=1.605
gen=32 bestSolVal=14501.150000000001 t=1.708
gen=34 bestSolVal=14582.569999999998 t=1.811
gen=35 bestSolVal=15020.650000000007 t=1.864
gen=36 bestSolVal=15662.870000000006 t=1.917
gen=37 bestSolVal=16242.62 t=1.97
gen=45 bestSolVal=16251.839999999991 t=2.393
gen=46 bestSolVal=16680.23999999999 t=2.445
gen=49 bestSolVal=17115.659999999996 t=2.604
gen=52 bestSolVal=17161.459999999992 t=2.777
gen=56 bestSolVal=17206.410000000007 t=2.995
gen=60 bestSolVal=17443.27 t=3.212
gen=72 bestSolVal=17489.570000000003 t=3.865
gen=73 bestSolVal=17790.359999999997 t=3.919
gen=74 bestSolVal=17802.110000000015 t=3.971
gen=81 bestSolVal=18020.490000000013 t=4.34
gen=84 bestSolVal=18050.700000000004 t=4.499
gen=85 bestSolVal=18435.790000000005 t=4.553
gen=87 bestSolVal=18498.41 t=4.659
gen=89 bestSolVal=18739.15000000001 t=4.765
