Executando GA na instância instances/max_sc_qbf/exact_n200.txt com População = 100, Taxa de Mutação = 0.01 por 1000 gerações
Método de inicialização: Default
gen=0 bestSolVal=4015.040000000002 t=0.035
gen=2 bestSolVal=4120.56 t=0.137
gen=3 bestSolVal=4781.229999999999 t=0.186
gen=4 bestSolVal=5373.590000000001 t=0.233
gen=5 bestSolVal=6711.400000000003 t=0.279
gen=7 bestSolVal=6848.71 t=0.372
gen=8 bestSolVal=7049.620000000001 t=0.418
gen=9 bestSolVal=7291.880000000003 t=0.465
gen=10 bestSolVal=8228.68 t=0.511
gen=12 bestSolVal=10881.42 t=0.605
gen=14 bestSolVal=11512.88999999999 t=0.699
gen=20 bestSolVal=12277.600000000002 t=0.979
gen=25 bestSolVal=13057.21 t=1.215
gen=27 bestSolVal=13236.389999999998 t=1.308
gen=28 bestSolVal=13288.170000000004 t=1.355
gen=30 bestSolVal=13348.319999999996 t=1.448
gen=31 bestSolVal=13564.96 t=1.495
gen=33 bestSolVal=13677.009999999998 t=1.588
gen=34 bestSolVal=13680.069999999998 t=1.634
gen=35 bestSolVal=13817.33 t=1.681
gen=37 bestSolVal=14450.429999999997 t=1.776
gen=40 bestSolVal=14492.659999999996 t=1.921
gen=41 bestSolVal=14811.049999999994 t=1.969
gen=44 bestSolVal=14874.740000000002 t=2.11
gen=45 bestSolVal=14979.939999999991 t=2.157
gen=46 bestSolVal=15324.550000000001 t=2.204
gen=48 bestSolVal=15540.640000000005 t=2.298
gen=50 bestSolVal=15884.000000000004 t=2.392
gen=51 bestSolVal=15963.869999999999 t=2.439
gen=54 bestSolVal=16021.940000000013 t=2.58
gen=57 bestSolVal=16064.110000000006 t=2.72
gen=61 bestSolVal=16384.530000000002 t=2.909
gen=62 bestSolVal=16680.800000000007 t=2.957
gen=63 bestSolVal=17032.180000000004 t=3.004
gen=64 bestSolVal=17232.049999999985 t=3.052
gen=66 bestSolVal=17330.340000000004 t=3.149
gen=71 bestSolVal=17389.350000000006 t=3.391
gen=77 bestSolVal=17574.180000000004 t=3.684
gen=78 bestSolVal=17835.640000000007 t=3.732
gen=79 bestSolVal=17954.630000000005 t=3.781
gen=88 bestSolVal=17962.92999999998 t=4.221
gen=91 bestSolVal=18018.81 t=4.367
gen=93 bestSolVal=18153.019999999997 t=4.463
gen=96 bestSolVal=18184.999999999993 t=4.609
gen=98 bestSolVal=18298.72999999999 t=4.707
gen=100 bestSolVal=18619.14999999999 t=4.804
gen=102 bestSolVal=18879.049999999992 t=4.901
gen=119 bestSolVal=19114.46 t=5.731
gen=122 bestSolVal=19287.35 t=5.879
gen=135 bestSolVal=19468.309999999998 t=6.518
gen=146 bestSolVal=19514.550000000003 t=7.058
gen=151 bestSolVal=19644.809999999998 t=7.307
gen=155 bestSolVal=19677.730000000003 t=7.508
gen=160 bestSolVal=19749.39 t=7.755
gen=166 bestSolVal=20096.39000000001 t=8.051
gen=171 bestSolVal=20338.23 t=8.301
gen=173 bestSolVal=20399.28 t=8.399
gen=198 bestSolVal=20414.819999999992 t=9.63
gen=265 bestSolVal=20441.18 t=12.925
gen=279 bestSolVal=20611.469999999994 t=13.625
gen=281 bestSolVal=20629.700000000008 t=13.724
gen=297 bestSolVal=20730.260000000006 t=14.521
gen=305 bestSolVal=21030.610000000004 t=14.919
gen=309 bestSolVal=21051.08000000001 t=15.119
gen=330 bestSolVal=21166.96000000001 t=16.168
gen=371 bestSolVal=21240.19999999999 t=18.202
gen=525 bestSolVal=21299.03 t=25.97
gen=597 bestSolVal=21355.949999999997 t=29.588
gen=707 bestSolVal=21371.100000000002 t=35.082
gen=733 bestSolVal=21405.100000000006 t=36.398
gen=1154 bestSolVal=21439.710000000006 t=57.536
gen=1186 bestSolVal=21456.29 t=59.145
gen=1216 bestSolVal=21549.559999999998 t=60.639
gen=1415 bestSolVal=21555.899999999998 t=70.622
gen=1852 bestSolVal=21570.089999999997 t=92.546
gen=1989 bestSolVal=21645.7 t=99.359
gen=2022 bestSolVal=21648.48 t=101.02
gen=2026 bestSolVal=21648.690000000006 t=101.222
gen=2135 bestSolVal=21653.700000000004 t=106.678
gen=3252 bestSolVal=21659.28000000001 t=162.462
gen=3300 bestSolVal=21663.21000000001 t=164.857
gen=3677 bestSolVal=21691.620000000006 t=183.722
gen=4192 bestSolVal=21732.33000000001 t=209.535
gen=4281 bestSolVal=21819.070000000014 t=214.011
gen=4836 bestSolVal=21860.330000000013 t=241.771
gen=5762 bestSolVal=21882.39000000001 t=287.959
Set coverage = [61, 60, 58, 55, 60, 57, 79, 60, 57, 61, 51, 68, 63, 68, 52, 57, 53, 66, 62, 44, 58, 58, 60, 55, 55, 60, 45, 56, 60, 54, 54, 62, 61, 61, 59, 58, 57, 62, 68, 57, 59, 54, 51, 68, 58, 60, 59, 65, 50, 73, 63, 58, 52, 55, 64, 65, 52, 56, 58, 54, 57, 56, 57, 63, 59, 57, 55, 56, 55, 56, 61, 58, 61, 54, 63, 56, 62, 61, 56, 58, 54, 69, 59, 58, 65, 65, 59, 53, 75, 52, 58, 63, 60, 60, 61, 53, 67, 63, 55, 59, 59, 63, 60, 61, 55, 58, 53, 47, 63, 64, 53, 53, 62, 55, 57, 57, 68, 58, 64, 67, 58, 69, 62, 57, 54, 57, 55, 57, 57, 56, 50, 53, 52, 64, 63, 65, 60, 54, 54, 59, 59, 50, 55, 58, 57, 64, 61, 67, 54, 69, 57, 59, 55, 56, 50, 50, 58, 62, 62, 57, 58, 52, 60, 61, 59, 56, 59, 61, 63, 60, 53, 71, 60, 55, 53, 53, 62, 65, 54, 57, 55, 62, 61, 44, 48, 60, 57, 55, 58, 53, 61, 62, 56, 63, 62, 49, 56, 59, 62, 57]
maxVal = Solution: cost=[21882.39000000001], size=[117], elements=[3, 5, 6, 7, 10, 13, 15, 16, 17, 20, 21, 23, 24, 25, 28, 31, 32, 33, 36, 38, 41, 42, 43, 44, 45, 48, 49, 50, 51, 52, 53, 54, 55, 56, 58, 60, 62, 64, 65, 67, 68, 69, 70, 71, 72, 73, 75, 76, 78, 82, 85, 87, 88, 91, 93, 95, 96, 97, 99, 101, 102, 104, 105, 106, 109, 110, 114, 115, 116, 118, 119, 120, 121, 122, 123, 124, 125, 127, 128, 130, 131, 132, 133, 137, 141, 145, 147, 148, 149, 151, 153, 155, 157, 158, 160, 161, 162, 163, 167, 168, 169, 172, 173, 175, 177, 181, 185, 187, 190, 191, 192, 193, 194, 195, 196, 197, 199]
Time = 600.088 seg
