Executando GA na instância instances/max_sc_qbf/exact_n200.txt com População = 100, Taxa de Mutação = 0.01 por 1000 gerações
Método de inicialização: Default
gen=0 bestSolVal=4081.629999999999 t=0.036
gen=1 bestSolVal=6472.550000000002 t=0.093
gen=4 bestSolVal=6553.530000000003 t=0.249
gen=5 bestSolVal=7589.920000000005 t=0.299
gen=6 bestSolVal=7826.150000000001 t=0.35
gen=9 bestSolVal=8751.45 t=0.502
gen=10 bestSolVal=8783.130000000005 t=0.553
gen=11 bestSolVal=9133.670000000002 t=0.604
gen=13 bestSolVal=9527.040000000005 t=0.706
gen=15 bestSolVal=9697.449999999995 t=0.808
gen=16 bestSolVal=10417.540000000006 t=0.859
gen=19 bestSolVal=10651.320000000009 t=1.008
gen=20 bestSolVal=11102.829999999994 t=1.056
gen=21 bestSolVal=11706.50999999999 t=1.106
gen=23 bestSolVal=12047.150000000001 t=1.204
gen=24 bestSolVal=12261.71 t=1.253
gen=26 bestSolVal=13191.619999999995 t=1.351
gen=30 bestSolVal=13510.209999999995 t=1.544
gen=35 bestSolVal=13525.040000000005 t=1.789
gen=36 bestSolVal=13690.449999999995 t=1.838
gen=37 bestSolVal=13700.529999999999 t=1.887
gen=38 bestSolVal=13712.719999999994 t=1.936
gen=39 bestSolVal=14054.129999999997 t=1.985
gen=40 bestSolVal=14382.899999999998 t=2.034
gen=42 bestSolVal=14495.4 t=2.136
gen=43 bestSolVal=14495.959999999997 t=2.186
gen=44 bestSolVal=15043.419999999996 t=2.236
gen=48 bestSolVal=15261.51 t=2.436
gen=50 bestSolVal=15509.270000000006 t=2.536
gen=51 bestSolVal=15827.369999999995 t=2.585
gen=53 bestSolVal=16008.479999999998 t=2.684
gen=54 bestSolVal=16093.579999999993 t=2.733
gen=56 bestSolVal=16120.009999999995 t=2.833
gen=57 bestSolVal=16144.979999999996 t=2.883
gen=61 bestSolVal=16216.969999999987 t=3.082
gen=62 bestSolVal=16441.919999999995 t=3.132
gen=65 bestSolVal=16676.340000000004 t=3.28
gen=68 bestSolVal=16766.76000000001 t=3.427
gen=70 bestSolVal=16930.24 t=3.525
gen=78 bestSolVal=17010.570000000003 t=3.918
gen=79 bestSolVal=17079.870000000006 t=3.967
gen=86 bestSolVal=17082.989999999998 t=4.329
gen=89 bestSolVal=17274.730000000003 t=4.489
gen=90 bestSolVal=17406.040000000005 t=4.542
gen=91 bestSolVal=17492.240000000005 t=4.595
gen=92 bestSolVal=17531.43 t=4.647
gen=94 bestSolVal=17782.410000000014 t=4.748
gen=97 bestSolVal=17888.350000000002 t=4.9
gen=106 bestSolVal=17996.23 t=5.358
gen=110 bestSolVal=18129.53000000001 t=5.563
gen=112 bestSolVal=18243.550000000007 t=5.666
gen=117 bestSolVal=18377.180000000008 t=5.923
gen=118 bestSolVal=18685.39000000001 t=5.974
gen=119 bestSolVal=18747.190000000002 t=6.024
gen=123 bestSolVal=18762.80000000001 t=6.227
gen=125 bestSolVal=18818.579999999998 t=6.328
gen=135 bestSolVal=18839.779999999988 t=6.833
gen=137 bestSolVal=18846.049999999996 t=6.935
gen=140 bestSolVal=19056.750000000004 t=7.088
gen=146 bestSolVal=19114.800000000003 t=7.39
gen=149 bestSolVal=19185.539999999994 t=7.542
gen=150 bestSolVal=19233.650000000005 t=7.592
gen=151 bestSolVal=19423.400000000012 t=7.643
gen=153 bestSolVal=19525.55999999999 t=7.744
gen=157 bestSolVal=19618.839999999997 t=7.946
gen=158 bestSolVal=19741.06 t=7.996
gen=169 bestSolVal=20019.51000000001 t=8.555
gen=191 bestSolVal=20032.04000000001 t=9.697
gen=201 bestSolVal=20153.360000000008 t=10.22
gen=205 bestSolVal=20482.510000000006 t=10.426
gen=209 bestSolVal=20518.469999999998 t=10.633
gen=213 bestSolVal=20598.39 t=10.841
gen=239 bestSolVal=20795.649999999994 t=12.206
gen=253 bestSolVal=20930.769999999993 t=12.918
gen=262 bestSolVal=21149.56999999999 t=13.382
gen=279 bestSolVal=21191.969999999994 t=14.258
gen=280 bestSolVal=21251.53 t=14.31
gen=330 bestSolVal=21407.5 t=16.978
gen=468 bestSolVal=21496.829999999998 t=24.276
gen=642 bestSolVal=21566.180000000015 t=33.53
gen=809 bestSolVal=21586.79000000001 t=42.394
gen=1073 bestSolVal=21629.670000000013 t=56.385
gen=1102 bestSolVal=21654.649999999994 t=57.939
gen=1111 bestSolVal=21674.129999999997 t=58.418
gen=1135 bestSolVal=21677.71 t=59.696
gen=1142 bestSolVal=21690.64 t=60.071
gen=1267 bestSolVal=21719.379999999994 t=66.773
gen=1356 bestSolVal=21740.850000000006 t=71.561
gen=2268 bestSolVal=21859.43000000001 t=120.923
gen=2786 bestSolVal=21899.08000000002 t=148.951
gen=2888 bestSolVal=21922.700000000015 t=154.505
gen=2945 bestSolVal=21986.54 t=157.603
