Executando GA na instância instances/max_sc_qbf/exact_n200.txt com População = 100, Taxa de Mutação = 0.01 por 1000 gerações
Método de inicialização: Default
gen=0 bestSolVal=3272.5399999999995 t=0.036
gen=1 bestSolVal=3929.0299999999993 t=0.091
gen=2 bestSolVal=4362.77 t=0.141
gen=3 bestSolVal=4388.809999999998 t=0.189
gen=4 bestSolVal=5819.459999999999 t=0.236
gen=5 bestSolVal=6610.770000000002 t=0.284
gen=8 bestSolVal=7265.329999999998 t=0.426
gen=9 bestSolVal=8123.390000000002 t=0.473
gen=10 bestSolVal=8374.330000000004 t=0.52
gen=12 bestSolVal=8420.889999999998 t=0.616
gen=13 bestSolVal=8657.160000000003 t=0.664
gen=14 bestSolVal=9160.759999999997 t=0.712
gen=17 bestSolVal=9969.060000000003 t=0.855
gen=18 bestSolVal=10156.630000000001 t=0.902
gen=19 bestSolVal=11314.010000000002 t=0.95
gen=20 bestSolVal=11332.530000000008 t=0.998
gen=22 bestSolVal=11601.820000000005 t=1.095
gen=24 bestSolVal=11757.120000000003 t=1.192
gen=25 bestSolVal=12527.470000000001 t=1.241
gen=27 bestSolVal=12728.739999999996 t=1.339
gen=28 bestSolVal=12758.500000000005 t=1.388
gen=29 bestSolVal=13326.579999999993 t=1.438
gen=30 bestSolVal=14518.26 t=1.488
gen=32 bestSolVal=14720.019999999999 t=1.588
gen=34 bestSolVal=15169.240000000013 t=1.688
gen=35 bestSolVal=15344.119999999995 t=1.738
gen=38 bestSolVal=15480.719999999998 t=1.887
gen=39 bestSolVal=15819.07 t=1.937
gen=40 bestSolVal=16757.68999999999 t=1.987
gen=42 bestSolVal=16909.619999999988 t=2.087
gen=44 bestSolVal=17071.059999999987 t=2.185
gen=46 bestSolVal=17213.510000000006 t=2.283
gen=47 bestSolVal=17609.929999999997 t=2.333
gen=48 bestSolVal=17619.569999999992 t=2.383
gen=49 bestSolVal=17659.259999999995 t=2.433
gen=55 bestSolVal=17837.790000000008 t=2.733
gen=57 bestSolVal=18576.28 t=2.834
gen=60 bestSolVal=18590.07 t=2.984
gen=65 bestSolVal=18623.989999999998 t=3.234
gen=74 bestSolVal=18969.200000000004 t=3.684
gen=78 bestSolVal=19183.950000000004 t=3.886
gen=82 bestSolVal=19306.120000000006 t=4.087
gen=84 bestSolVal=19371.01000000001 t=4.187
gen=93 bestSolVal=19480.42000000001 t=4.645
gen=96 bestSolVal=19907.96 t=4.8
gen=99 bestSolVal=20092.010000000017 t=4.957
gen=100 bestSolVal=20119.97000000001 t=5.009
gen=104 bestSolVal=20319.24999999999 t=5.221
Set coverage = [56, 63, 58, 56, 59, 64, 75, 60, 53, 64, 59, 69, 68, 68, 56, 59, 53, 69, 62, 50, 59, 61, 66, 49, 56, 69, 51, 60, 58, 60, 56, 62, 63, 63, 63, 61, 59, 60, 67, 55, 57, 57, 49, 67, 64, 58, 62, 64, 55, 79, 62, 66, 55, 57, 62, 68, 55, 64, 62, 59, 62, 56, 61, 61, 68, 59, 57, 62, 61, 55, 65, 60, 65, 59, 61, 64, 64, 66, 64, 65, 56, 65, 63, 58, 71, 59, 54, 52, 75, 49, 63, 64, 62, 58, 65, 57, 67, 69, 60, 55, 64, 64, 68, 65, 56, 62, 59, 52, 63, 67, 56, 53, 58, 57, 62, 58, 68, 57, 65, 67, 56, 65, 66, 59, 65, 62, 62, 58, 62, 56, 57, 55, 55, 66, 63, 64, 60, 62, 60, 59, 63, 55, 56, 64, 59, 65, 65, 66, 59, 70, 59, 62, 54, 62, 53, 54, 61, 64, 66, 63, 60, 52, 59, 68, 64, 62, 61, 64, 69, 65, 63, 62, 59, 60, 54, 58, 67, 63, 60, 59, 58, 65, 63, 45, 50, 59, 64, 59, 62, 62, 65, 66, 61, 72, 71, 58, 60, 55, 63, 62]
maxVal = Solution: cost=[20319.24999999999], size=[122], elements=[3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 39, 40, 41, 44, 46, 49, 52, 54, 55, 56, 57, 58, 60, 61, 62, 64, 65, 67, 68, 69, 70, 71, 72, 73, 76, 78, 83, 84, 85, 88, 91, 93, 95, 96, 97, 99, 101, 104, 105, 106, 108, 109, 110, 113, 114, 115, 116, 117, 118, 120, 121, 124, 125, 127, 128, 130, 131, 132, 133, 137, 138, 141, 145, 147, 148, 151, 152, 153, 155, 157, 158, 160, 161, 162, 164, 168, 169, 173, 174, 175, 181, 183, 185, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199]
Time = 5.233 seg
