Executando GA na instância instances/max_sc_qbf/exact_n200.txt com População = 100, Taxa de Mutação = 0.01 por 1000 gerações
Método de inicialização: Default
gen=0 bestSolVal=3565.36 t=0.037
gen=1 bestSolVal=4664.049999999995 t=0.092
gen=3 bestSolVal=4813.51 t=0.189
gen=5 bestSolVal=5916.950000000002 t=0.282
gen=7 bestSolVal=6365.179999999999 t=0.377
gen=8 bestSolVal=6583.389999999997 t=0.424
gen=9 bestSolVal=7533.67 t=0.471
gen=10 bestSolVal=7608.290000000001 t=0.519
gen=11 bestSolVal=7768.760000000003 t=0.566
gen=12 bestSolVal=8275.98 t=0.614
gen=13 bestSolVal=8442.419999999998 t=0.661
gen=15 bestSolVal=9479.060000000003 t=0.757
gen=16 bestSolVal=9542.86 t=0.804
gen=17 bestSolVal=9682.029999999999 t=0.852
gen=18 bestSolVal=10315.630000000001 t=0.899
gen=20 bestSolVal=10623.870000000003 t=0.995
gen=21 bestSolVal=11631.539999999999 t=1.044
gen=22 bestSolVal=11741.129999999997 t=1.092
gen=24 bestSolVal=11794.419999999998 t=1.187
gen=25 bestSolVal=12141.870000000008 t=1.235
gen=27 bestSolVal=13547.120000000006 t=1.331
gen=30 bestSolVal=13975.490000000007 t=1.477
gen=35 bestSolVal=14837.130000000005 t=1.722
gen=37 bestSolVal=14981.899999999998 t=1.821
gen=38 bestSolVal=15439.900000000001 t=1.871
gen=42 bestSolVal=15880.540000000003 t=2.067
gen=44 bestSolVal=16393.92000000001 t=2.164
gen=46 bestSolVal=16453.52000000001 t=2.261
gen=50 bestSolVal=16655.820000000003 t=2.467
gen=52 bestSolVal=16725.100000000013 t=2.569
gen=53 bestSolVal=16836.36 t=2.619
gen=54 bestSolVal=17270.550000000014 t=2.668
gen=55 bestSolVal=17499.47 t=2.718
gen=56 bestSolVal=17572.41000000001 t=2.769
gen=57 bestSolVal=17675.250000000007 t=2.819
gen=59 bestSolVal=17698.300000000007 t=2.92
gen=60 bestSolVal=17842.11000000001 t=2.969
gen=66 bestSolVal=17860.920000000002 t=3.268
gen=67 bestSolVal=18606.38000000001 t=3.318
gen=79 bestSolVal=18945.549999999992 t=3.913
gen=80 bestSolVal=19090.819999999996 t=3.963
gen=82 bestSolVal=19356.600000000006 t=4.062
gen=94 bestSolVal=19559.92 t=4.663
gen=96 bestSolVal=19823.499999999993 t=4.764
gen=97 bestSolVal=19951.230000000003 t=4.814
gen=98 bestSolVal=20121.709999999995 t=4.864
gen=124 bestSolVal=20212.86000000001 t=6.174
Set coverage = [59, 63, 57, 60, 63, 63, 76, 62, 58, 61, 55, 69, 69, 70, 59, 61, 55, 69, 62, 51, 60, 61, 62, 53, 56, 65, 52, 62, 60, 54, 50, 60, 64, 63, 59, 61, 59, 62, 72, 57, 57, 59, 51, 65, 67, 64, 56, 65, 52, 78, 63, 63, 53, 59, 61, 69, 53, 61, 61, 55, 61, 58, 57, 65, 67, 59, 57, 65, 57, 60, 63, 59, 64, 58, 59, 65, 63, 69, 58, 64, 61, 66, 61, 59, 69, 68, 58, 55, 76, 52, 63, 64, 60, 56, 66, 53, 70, 64, 61, 61, 66, 66, 65, 65, 54, 62, 56, 51, 65, 64, 60, 54, 62, 57, 60, 57, 73, 59, 63, 69, 57, 67, 69, 60, 65, 59, 57, 53, 58, 56, 56, 57, 54, 67, 65, 69, 60, 62, 62, 59, 60, 50, 51, 63, 58, 63, 63, 66, 61, 67, 56, 60, 55, 61, 57, 59, 61, 67, 65, 62, 60, 57, 62, 68, 65, 67, 61, 64, 62, 64, 57, 64, 64, 59, 53, 57, 65, 62, 60, 57, 60, 66, 63, 46, 48, 59, 63, 58, 60, 61, 62, 66, 65, 68, 70, 55, 59, 60, 62, 59]
maxVal = Solution: cost=[20212.86000000001], size=[122], elements=[0, 3, 4, 5, 6, 7, 9, 10, 11, 14, 15, 16, 20, 21, 22, 23, 24, 25, 27, 28, 30, 31, 32, 33, 34, 36, 40, 41, 42, 43, 46, 48, 49, 51, 52, 54, 55, 56, 57, 58, 60, 61, 62, 64, 65, 67, 68, 69, 70, 71, 73, 76, 78, 84, 85, 88, 91, 93, 95, 96, 97, 99, 101, 104, 105, 106, 108, 109, 110, 111, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 124, 125, 127, 128, 130, 131, 132, 137, 138, 141, 145, 147, 148, 151, 152, 153, 157, 158, 160, 161, 162, 163, 167, 168, 169, 170, 173, 175, 181, 183, 185, 187, 188, 190, 191, 192, 193, 194, 195, 196, 197, 199]
Time = 6.185 seg
