Executando GA na instância instances/max_sc_qbf/exact_n200.txt com População = 100, Taxa de Mutação = 0.01 por 1000 gerações
Método de inicialização: Default
gen=0 bestSolVal=3315.4999999999995 t=0.036
gen=1 bestSolVal=4172.220000000002 t=0.091
gen=2 bestSolVal=5173.06 t=0.141
gen=3 bestSolVal=5964.130000000001 t=0.189
gen=4 bestSolVal=7072.150000000003 t=0.235
gen=7 bestSolVal=7882.2400000000025 t=0.377
gen=9 bestSolVal=7909.659999999999 t=0.471
gen=10 bestSolVal=9026.319999999996 t=0.519
gen=11 bestSolVal=9497.450000000006 t=0.567
gen=12 bestSolVal=10349.609999999999 t=0.615
gen=14 bestSolVal=10398.390000000007 t=0.712
gen=15 bestSolVal=10624.919999999996 t=0.76
gen=17 bestSolVal=11326.700000000008 t=0.857
gen=20 bestSolVal=11785.990000000005 t=1.002
gen=21 bestSolVal=12075.639999999996 t=1.049
gen=22 bestSolVal=12261.070000000003 t=1.098
gen=23 bestSolVal=12425.119999999995 t=1.145
gen=24 bestSolVal=12481.259999999993 t=1.193
gen=25 bestSolVal=13257.969999999994 t=1.241
gen=27 bestSolVal=13432.479999999998 t=1.336
gen=28 bestSolVal=13507.409999999996 t=1.385
gen=29 bestSolVal=13973.92 t=1.432
gen=32 bestSolVal=14372.289999999994 t=1.577
gen=33 bestSolVal=14799.469999999996 t=1.626
gen=35 bestSolVal=15195.779999999995 t=1.724
gen=37 bestSolVal=15221.420000000004 t=1.822
gen=38 bestSolVal=16298.029999999997 t=1.872
gen=49 bestSolVal=16376.059999999994 t=2.407
gen=51 bestSolVal=16556.539999999997 t=2.505
gen=52 bestSolVal=17193.929999999993 t=2.555
gen=54 bestSolVal=17210.75 t=2.654
gen=60 bestSolVal=17362.65 t=2.954
gen=61 bestSolVal=18071.520000000004 t=3.004
gen=63 bestSolVal=18100.35 t=3.103
gen=64 bestSolVal=18140.700000000008 t=3.153
gen=72 bestSolVal=18357.17000000001 t=3.554
gen=75 bestSolVal=18434.62 t=3.704
gen=78 bestSolVal=18535.769999999997 t=3.854
gen=80 bestSolVal=18615.329999999987 t=3.952
gen=85 bestSolVal=18719.66999999999 t=4.199
gen=87 bestSolVal=18852.36999999999 t=4.297
gen=92 bestSolVal=18869.080000000005 t=4.545
gen=95 bestSolVal=19195.300000000003 t=4.695
gen=98 bestSolVal=19246.31999999999 t=4.843
gen=99 bestSolVal=19514.809999999998 t=4.893
gen=101 bestSolVal=19525.700000000004 t=4.994
gen=102 bestSolVal=19563.500000000004 t=5.044
gen=108 bestSolVal=19803.45 t=5.346
gen=115 bestSolVal=19978.459999999995 t=5.697
gen=116 bestSolVal=20057.93999999999 t=5.746
gen=118 bestSolVal=20111.060000000005 t=5.846
gen=128 bestSolVal=20139.950000000008 t=6.344
gen=129 bestSolVal=20370.699999999975 t=6.393
Set coverage = [60, 62, 53, 54, 60, 58, 75, 62, 55, 62, 54, 66, 65, 69, 55, 59, 55, 63, 65, 48, 56, 56, 63, 51, 53, 61, 50, 57, 60, 52, 54, 61, 62, 62, 61, 57, 58, 65, 68, 59, 57, 54, 47, 63, 61, 65, 63, 61, 54, 75, 61, 58, 56, 55, 62, 66, 52, 56, 62, 59, 57, 53, 55, 65, 63, 59, 58, 59, 52, 57, 58, 59, 62, 58, 61, 59, 61, 63, 63, 61, 56, 65, 66, 56, 66, 62, 55, 53, 76, 50, 58, 66, 63, 58, 62, 54, 68, 63, 62, 61, 65, 67, 65, 61, 57, 60, 57, 50, 65, 65, 53, 54, 64, 56, 61, 56, 72, 56, 64, 68, 54, 67, 67, 57, 61, 64, 62, 59, 60, 55, 59, 53, 51, 63, 64, 61, 64, 58, 57, 60, 61, 51, 54, 58, 56, 63, 66, 70, 57, 67, 58, 58, 54, 63, 49, 53, 61, 64, 64, 57, 62, 54, 62, 62, 63, 54, 60, 64, 65, 62, 56, 62, 64, 59, 54, 50, 61, 64, 58, 56, 59, 62, 59, 43, 46, 60, 58, 57, 61, 57, 59, 60, 65, 64, 62, 56, 56, 55, 59, 58]
maxVal = Solution: cost=[20370.699999999975], size=[119], elements=[3, 4, 5, 6, 8, 10, 11, 12, 13, 15, 16, 20, 21, 22, 23, 24, 25, 27, 30, 31, 32, 33, 36, 38, 40, 41, 42, 44, 45, 48, 49, 51, 52, 53, 55, 56, 57, 58, 61, 62, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 75, 76, 78, 85, 88, 93, 96, 97, 99, 101, 104, 105, 106, 108, 109, 110, 111, 115, 116, 118, 119, 120, 121, 122, 124, 125, 126, 128, 130, 131, 132, 137, 138, 141, 145, 147, 148, 151, 152, 153, 155, 157, 158, 159, 160, 161, 162, 163, 168, 169, 172, 173, 175, 177, 181, 182, 183, 185, 187, 189, 190, 192, 193, 194, 195, 196, 197, 198, 199]
Time = 6.405 seg
