Executando GA na instância instances/max_sc_qbf/exact_n200.txt com População = 100, Taxa de Mutação = 0.01 por 1000 gerações
Método de inicialização: Default
gen=0 bestSolVal=4216.000000000004 t=0.035
gen=2 bestSolVal=4734.9400000000005 t=0.137
gen=3 bestSolVal=5702.280000000001 t=0.187
gen=4 bestSolVal=6059.829999999998 t=0.233
gen=5 bestSolVal=6847.839999999998 t=0.279
gen=6 bestSolVal=6928.240000000002 t=0.326
gen=8 bestSolVal=7126.130000000003 t=0.419
gen=9 bestSolVal=7679.75 t=0.466
gen=10 bestSolVal=8443.750000000004 t=0.513
gen=12 bestSolVal=8952.580000000004 t=0.606
gen=13 bestSolVal=9333.49 t=0.652
gen=14 bestSolVal=9681.330000000002 t=0.698
gen=15 bestSolVal=10215.679999999997 t=0.745
gen=16 bestSolVal=10311.270000000002 t=0.791
gen=17 bestSolVal=10363.03 t=0.838
gen=18 bestSolVal=11130.179999999993 t=0.885
gen=19 bestSolVal=11651.88 t=0.931
gen=20 bestSolVal=12211.539999999995 t=0.978
gen=22 bestSolVal=12667.300000000003 t=1.072
gen=23 bestSolVal=12698.05 t=1.12
gen=24 bestSolVal=13326.250000000005 t=1.166
gen=26 bestSolVal=13545.36 t=1.26
gen=27 bestSolVal=13812.43 t=1.308
gen=29 bestSolVal=14038.550000000012 t=1.403
gen=32 bestSolVal=14987.620000000006 t=1.545
gen=36 bestSolVal=15059.980000000003 t=1.736
gen=37 bestSolVal=15628.419999999998 t=1.784
gen=40 bestSolVal=16234.230000000003 t=1.929
gen=41 bestSolVal=16792.94 t=1.978
gen=43 bestSolVal=17339.82 t=2.076
gen=52 bestSolVal=17575.739999999994 t=2.515
gen=53 bestSolVal=17589.679999999993 t=2.564
gen=58 bestSolVal=17874.649999999994 t=2.807
gen=63 bestSolVal=18071.610000000004 t=3.051
gen=66 bestSolVal=18104.239999999998 t=3.197
gen=68 bestSolVal=18297.109999999997 t=3.295
gen=72 bestSolVal=18495.689999999995 t=3.489
gen=74 bestSolVal=18511.72 t=3.587
gen=76 bestSolVal=18640.34 t=3.684
gen=82 bestSolVal=18847.45999999999 t=3.978
gen=84 bestSolVal=19046.629999999997 t=4.075
gen=88 bestSolVal=19091.089999999993 t=4.27
gen=89 bestSolVal=19157.759999999987 t=4.32
gen=91 bestSolVal=19173.340000000007 t=4.418
gen=92 bestSolVal=19417.34999999999 t=4.467
gen=96 bestSolVal=19702.069999999985 t=4.663
gen=102 bestSolVal=20076.309999999994 t=4.958
gen=135 bestSolVal=20244.68999999999 t=6.578
Set coverage = [56, 68, 56, 60, 60, 65, 74, 61, 57, 65, 59, 68, 66, 71, 52, 63, 54, 65, 65, 48, 60, 65, 62, 52, 57, 67, 56, 63, 55, 57, 51, 62, 65, 67, 58, 62, 58, 61, 68, 62, 57, 58, 55, 65, 67, 59, 63, 65, 56, 79, 64, 63, 55, 54, 68, 68, 53, 63, 60, 58, 67, 54, 56, 64, 63, 59, 55, 63, 61, 57, 64, 61, 63, 57, 64, 60, 62, 63, 59, 60, 59, 66, 61, 57, 65, 58, 56, 50, 74, 50, 63, 63, 58, 55, 63, 54, 72, 65, 57, 59, 62, 69, 63, 67, 58, 61, 58, 51, 64, 63, 54, 57, 62, 64, 67, 57, 70, 61, 65, 66, 61, 70, 65, 57, 64, 63, 62, 57, 61, 62, 59, 56, 53, 62, 68, 67, 63, 59, 58, 54, 59, 55, 55, 64, 60, 65, 64, 68, 60, 69, 54, 60, 53, 62, 56, 57, 63, 68, 66, 64, 59, 52, 58, 65, 64, 63, 57, 69, 71, 62, 63, 64, 66, 58, 54, 55, 65, 64, 57, 60, 61, 62, 65, 43, 53, 57, 62, 59, 61, 64, 67, 65, 61, 68, 66, 57, 60, 57, 61, 55]
maxVal = Solution: cost=[20244.68999999999], size=[122], elements=[0, 3, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 20, 21, 22, 24, 25, 27, 28, 30, 31, 32, 33, 35, 40, 41, 42, 43, 44, 46, 48, 49, 52, 53, 55, 56, 57, 58, 60, 61, 62, 64, 65, 68, 70, 71, 73, 76, 78, 79, 80, 81, 84, 85, 87, 88, 91, 93, 95, 96, 97, 99, 101, 104, 105, 106, 107, 108, 109, 110, 111, 114, 115, 116, 117, 118, 120, 121, 122, 123, 124, 125, 127, 130, 132, 133, 137, 138, 141, 145, 147, 148, 151, 152, 153, 155, 157, 158, 160, 161, 162, 163, 164, 168, 172, 173, 175, 176, 179, 181, 183, 185, 187, 191, 192, 193, 194, 195, 196, 197, 199]
Time = 6.591 seg
