Executando GA na instância instances/max_sc_qbf/exact_n200.txt com População = 100, Taxa de Mutação = 0.01 por 1000 gerações
Método de inicialização: Default
gen=0 bestSolVal=3636.52 t=0.037
gen=1 bestSolVal=4577.280000000002 t=0.092
gen=3 bestSolVal=5743.760000000001 t=0.189
gen=6 bestSolVal=5797.290000000002 t=0.327
gen=7 bestSolVal=6706.840000000003 t=0.373
gen=8 bestSolVal=7106.819999999997 t=0.419
gen=9 bestSolVal=7743.51 t=0.464
gen=10 bestSolVal=7921.520000000001 t=0.51
gen=12 bestSolVal=8500.210000000005 t=0.602
gen=13 bestSolVal=8556.560000000001 t=0.648
gen=14 bestSolVal=9378.310000000007 t=0.695
gen=16 bestSolVal=9482.449999999999 t=0.789
gen=18 bestSolVal=9957.180000000004 t=0.883
gen=19 bestSolVal=10651.91 t=0.93
gen=21 bestSolVal=10984.970000000001 t=1.024
gen=24 bestSolVal=11369.980000000003 t=1.165
gen=25 bestSolVal=11486.930000000006 t=1.211
gen=26 bestSolVal=12434.920000000002 t=1.257
gen=27 bestSolVal=12764.940000000002 t=1.303
gen=31 bestSolVal=12950.71 t=1.49
gen=32 bestSolVal=13303.889999999998 t=1.537
gen=34 bestSolVal=13556.260000000004 t=1.631
gen=35 bestSolVal=13807.54 t=1.678
gen=36 bestSolVal=14661.430000000004 t=1.726
gen=41 bestSolVal=14715.250000000002 t=1.962
gen=43 bestSolVal=15181.480000000003 t=2.06
gen=46 bestSolVal=15526.929999999997 t=2.203
gen=48 bestSolVal=15539.479999999994 t=2.298
gen=49 bestSolVal=15596.439999999997 t=2.345
gen=50 bestSolVal=16015.989999999989 t=2.393
gen=51 bestSolVal=16412.530000000002 t=2.44
gen=55 bestSolVal=16786.079999999994 t=2.631
gen=57 bestSolVal=16801.649999999994 t=2.728
gen=60 bestSolVal=16996.669999999995 t=2.874
gen=63 bestSolVal=17056.91999999999 t=3.021
gen=66 bestSolVal=17297.66000000001 t=3.169
gen=68 bestSolVal=17447.869999999995 t=3.267
gen=73 bestSolVal=18411.920000000002 t=3.513
gen=91 bestSolVal=18415.37999999999 t=4.396
gen=97 bestSolVal=18509.670000000002 t=4.692
gen=99 bestSolVal=18514.53 t=4.79
gen=102 bestSolVal=18538.999999999996 t=4.938
gen=108 bestSolVal=19075.259999999987 t=5.233
gen=113 bestSolVal=19218.41 t=5.477
gen=115 bestSolVal=19241.629999999997 t=5.575
gen=127 bestSolVal=19282.980000000003 t=6.164
gen=130 bestSolVal=19390.269999999986 t=6.312
gen=132 bestSolVal=19488.94 t=6.41
gen=133 bestSolVal=19582.879999999997 t=6.46
gen=183 bestSolVal=19774.219999999998 t=8.912
gen=199 bestSolVal=19776.309999999983 t=9.693
gen=200 bestSolVal=19990.48 t=9.742
gen=235 bestSolVal=19991.1 t=11.466
gen=244 bestSolVal=20049.039999999997 t=11.909
gen=262 bestSolVal=20114.100000000002 t=12.809
gen=264 bestSolVal=20200.889999999996 t=12.909
Set coverage = [60, 68, 56, 55, 55, 52, 76, 60, 54, 66, 55, 68, 67, 65, 57, 60, 52, 64, 64, 48, 60, 60, 61, 52, 52, 66, 49, 55, 59, 50, 57, 62, 66, 59, 59, 61, 57, 58, 68, 60, 53, 57, 49, 64, 61, 56, 61, 65, 52, 78, 64, 59, 56, 53, 64, 66, 55, 57, 58, 52, 59, 52, 57, 67, 64, 61, 60, 58, 57, 58, 60, 58, 66, 59, 66, 59, 59, 64, 59, 61, 55, 68, 63, 57, 64, 65, 60, 54, 77, 50, 63, 65, 63, 55, 63, 56, 67, 63, 60, 58, 60, 62, 62, 63, 57, 60, 53, 53, 60, 69, 53, 56, 59, 56, 58, 56, 64, 54, 67, 67, 57, 67, 62, 58, 62, 60, 61, 55, 60, 49, 55, 55, 55, 64, 60, 63, 66, 56, 57, 58, 62, 52, 55, 62, 58, 59, 73, 65, 58, 65, 53, 59, 55, 55, 53, 54, 66, 65, 66, 58, 56, 54, 61, 66, 64, 55, 56, 58, 71, 65, 55, 64, 62, 66, 51, 54, 60, 61, 59, 57, 57, 62, 61, 43, 51, 61, 56, 54, 59, 58, 61, 58, 55, 66, 68, 56, 56, 57, 61, 60]
maxVal = Solution: cost=[20200.889999999996], size=[119], elements=[1, 3, 5, 6, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 35, 36, 41, 43, 45, 46, 49, 52, 53, 55, 56, 57, 58, 60, 61, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 78, 84, 85, 88, 91, 93, 96, 97, 99, 101, 102, 104, 105, 106, 108, 110, 111, 113, 118, 119, 120, 121, 122, 123, 124, 125, 128, 130, 131, 132, 137, 141, 143, 147, 149, 151, 152, 153, 155, 157, 158, 160, 161, 162, 163, 164, 166, 168, 169, 172, 173, 174, 175, 177, 181, 182, 185, 187, 190, 191, 192, 194, 195, 197, 198, 199]
Time = 12.92 seg
